X DEV,Y DEV,DEPTH,TVD
19.05093,-32.24546,11084.000354688,10034.30371
19.16115,-32.43525,11084.500354704,10034.75293
19.27135,-32.62504,11085.00035472,10035.20215
19.38153,-32.81484,11085.500354736,10035.65137
19.49168,-33.00463,11086.000354752,10036.10059
19.60182,-33.19443,11086.500354767999,10036.5498
19.71193,-33.38422,11087.000354783999,10036.99902
19.82202,-33.57402,11087.500354799999,10037.44824
19.93209,-33.76382,11088.000354815998,10037.89746
20.04214,-33.95362,11088.500354831998,10038.34766
20.15216,-34.14342,11089.000354847998,10038.79688
20.26217,-34.33323,11089.500354863998,10039.24609
20.37215,-34.52303,11090.000354879998,10039.69531
20.48212,-34.71283,11090.500354895998,10040.14453
20.59206,-34.90264,11091.000354911997,10040.59375
20.70198,-35.09245,11091.500354927997,10041.04297
20.81188,-35.28226,11092.000354943997,10041.49219
20.92175,-35.47206,11092.500354959997,10041.94141
21.03161,-35.66188,11093.000354975997,10042.39063
21.14144,-35.85168,11093.500354991997,10042.84082
21.25125,-36.0415,11094.000355007996,10043.29004
21.36104,-36.23131,11094.500355023996,10043.73926
21.47081,-36.42113,11095.000355039996,10044.18848
21.58056,-36.61095,11095.500355055996,10044.6377
21.69028,-36.80076,11096.000355071996,10045.08691
21.79999,-36.99058,11096.500355087996,10045.53613
21.90967,-37.1804,11097.000355103995,10045.98633
22.01933,-37.37022,11097.500355119995,10046.43555
22.12897,-37.56004,11098.000355135995,10046.88477
22.23859,-37.74986,11098.500355151995,10047.33398
22.34818,-37.93969,11099.000355167995,10047.7832
22.45776,-38.12948,11099.500355183995,10048.23242
22.5673,-38.31921,11100.000355199994,10048.68164
22.67682,-38.5089,11100.500355215994,10049.13184
22.7863,-38.69852,11101.000355231994,10049.58105
22.89574,-38.88809,11101.500355247994,10050.03027
23.00516,-39.07761,11102.000355263994,10050.48047
23.11454,-39.26706,11102.500355279994,10050.92969
23.2239,-39.45647,11103.000355295993,10051.37891
23.33322,-39.64581,11103.500355311993,10051.8291
23.4425,-39.8351,11104.000355327993,10052.27832
23.55176,-40.02434,11104.500355343993,10052.72852
23.66098,-40.21352,11105.000355359993,10053.17871
23.77017,-40.40264,11105.500355375993,10053.62793
23.87933,-40.59171,11106.000355391992,10054.07813
23.98846,-40.78072,11106.500355407992,10054.52734
24.09755,-40.96968,11107.000355423992,10054.97754
24.20661,-41.15858,11107.500355439992,10055.42773
24.31564,-41.34742,11108.000355455992,10055.87695
24.42464,-41.53621,11108.500355471991,10056.32715
24.53361,-41.72495,11109.000355487991,10056.77734
24.64254,-41.91362,11109.500355503991,10057.22754
24.75144,-42.10225,11110.000355519991,10057.67773
24.86031,-42.29081,11110.50035553599,10058.12793
24.96914,-42.47932,11111.00035555199,10058.57813
25.07795,-42.66778,11111.50035556799,10059.02832
25.18672,-42.85618,11112.00035558399,10059.47852
25.29546,-43.04452,11112.50035559999,10059.92871
25.40417,-43.23281,11113.00035561599,10060.37891
25.51284,-43.42104,11113.50035563199,10060.8291
25.62149,-43.60921,11114.00035564799,10061.2793
25.7301,-43.79734,11114.50035566399,10061.72949
25.83868,-43.9854,11115.00035567999,10062.17969
25.94723,-44.17341,11115.50035569599,10062.62988
26.05574,-44.36136,11116.000355711989,10063.08105
26.16422,-44.54926,11116.500355727989,10063.53125
26.27267,-44.7371,11117.000355743989,10063.98145
26.38109,-44.92488,11117.500355759988,10064.43262
26.48948,-45.11261,11118.000355775988,10064.88281
26.59783,-45.30029,11118.500355791988,10065.33301
26.70615,-45.48791,11119.000355807988,10065.78418
26.81444,-45.67547,11119.500355823988,10066.23438
26.9227,-45.86298,11120.000355839988,10066.68555
27.03092,-46.05042,11120.500355855987,10067.13574
27.13911,-46.23782,11121.000355871987,10067.58691
27.24727,-46.42516,11121.500355887987,10068.03809
27.3554,-46.61244,11122.000355903987,10068.48828
27.4635,-46.79967,11122.500355919987,10068.93945
27.57156,-46.98684,11123.000355935987,10069.39063
27.67959,-47.17395,11123.500355951986,10069.84082
27.78759,-47.36102,11124.000355967986,10070.29199
27.89556,-47.54802,11124.500355983986,10070.74316
