X DEV,Y DEV,DEPTH,TVD
24.5329,23.28503,10000.00032,9431.16797
24.65393,23.40206,10000.500320015999,9431.63867
24.77492,23.51911,10001.000320031999,9432.10938
24.89587,23.63619,10001.500320047999,9432.58105
25.01679,23.75329,10002.000320063999,9433.05176
25.13767,23.87042,10002.500320079998,9433.52246
25.25851,23.98758,10003.000320095998,9433.99316
25.37931,24.10475,10003.500320111998,9434.46387
25.50007,24.22195,10004.000320127998,9434.93457
25.6208,24.33918,10004.500320143998,9435.40527
25.74149,24.45643,10005.000320159998,9435.87598
25.86213,24.57371,10005.500320175997,9436.34766
25.98275,24.69101,10006.000320191997,9436.81836
26.10332,24.80833,10006.500320207997,9437.28906
26.22385,24.92568,10007.000320223997,9437.75977
26.34435,25.04305,10007.500320239997,9438.23047
26.46481,25.16045,10008.000320255996,9438.70117
26.58523,25.27787,10008.500320271996,9439.17188
26.70561,25.39532,10009.000320287996,9439.64355
26.82596,25.51279,10009.500320303996,9440.11426
26.94626,25.63028,10010.000320319996,9440.58496
27.06653,25.7478,10010.500320335996,9441.05566
27.18676,25.86535,10011.000320351995,9441.52637
27.30695,25.98291,10011.500320367995,9441.99805
27.42711,26.1005,10012.000320383995,9442.46875
27.54722,26.21812,10012.500320399995,9442.93945
27.6673,26.33576,10013.000320415995,9443.41016
27.78734,26.45343,10013.500320431995,9443.88086
27.90734,26.57112,10014.000320447994,9444.35156
28.0273,26.68883,10014.500320463994,9444.82324
28.14723,26.80657,10015.000320479994,9445.29395
28.26711,26.92433,10015.500320495994,9445.76465
28.38696,27.04211,10016.000320511994,9446.23535
28.50677,27.15992,10016.500320527994,9446.70703
28.62654,27.27776,10017.000320543993,9447.17773
28.74628,27.39562,10017.500320559993,9447.64844
28.86597,27.5135,10018.000320575993,9448.11914
28.98563,27.6314,10018.500320591993,9448.58984
29.10525,27.74934,10019.000320607993,9449.06152
29.22483,27.86729,10019.500320623993,9449.53223
29.34437,27.98527,10020.000320639992,9450.00293
29.46388,28.10328,10020.500320655992,9450.47363
29.58334,28.2213,10021.000320671992,9450.94531
29.70277,28.33935,10021.500320687992,9451.41602
29.82216,28.45743,10022.000320703992,9451.88672
29.94151,28.57553,10022.500320719992,9452.3584
30.06083,28.69365,10023.000320735991,9452.8291
30.1801,28.8118,10023.500320751991,9453.2998
30.29934,28.92997,10024.000320767991,9453.77051
30.41854,29.04817,10024.50032078399,9454.24219
30.53769,29.16639,10025.00032079999,9454.71289
30.65682,29.28463,10025.50032081599,9455.18359
30.7759,29.4029,10026.00032083199,9455.65527
30.89495,29.52119,10026.50032084799,9456.12598
31.01395,29.63951,10027.00032086399,9456.59668
31.13292,29.75785,10027.50032087999,9457.06738
31.25185,29.87621,10028.00032089599,9457.53906
31.37074,29.9946,10028.50032091199,9458.00977
31.4896,30.11301,10029.00032092799,9458.48047
31.60841,30.23145,10029.50032094399,9458.95215
31.72719,30.34991,10030.000320959989,9459.42285
31.84593,30.46839,10030.500320975989,9459.89355
31.96463,30.5869,10031.000320991989,9460.36523
32.08329,30.70543,10031.500321007989,9460.83594
32.20191,30.82398,10032.000321023988,9461.30664
32.3205,30.94256,10032.500321039988,9461.77832
32.43904,31.06116,10033.000321055988,9462.24902
32.55755,31.17979,10033.500321071988,9462.71973
32.67602,31.29844,10034.000321087988,9463.19141
32.79445,31.41712,10034.500321103988,9463.66211
32.91285,31.53581,10035.000321119987,9464.13281
33.0312,31.65454,10035.500321135987,9464.60449
33.14952,31.77328,10036.000321151987,9465.0752
33.2678,31.89205,10036.500321167987,9465.54688
33.38603,32.01084,10037.000321183987,9466.01758
33.50423,32.12966,10037.500321199987,9466.48828
33.62239,32.2485,10038.000321215986,9466.95996
33.74052,32.36736,10038.500321231986,9467.43066
33.85861,32.48625,10039.000321247986,9467.90137
33.97665,32.60516,10039.500321263986,9468.37305
34.09466,32.7241,10040.000321279986,9468.84375
34.21264,32.84306,10040.500321295985,9469.31543
34.33057,32.96204,10041.000321311985,9469.78613
34.44846,33.08105,10041.500321327985,9470.25684
34.56631,33.20008,10042.000321343985,9470.72852
34.68413,33.31913,10042.500321359985,9471.19922
34.80191,33.43821,10043.000321375985,9471.6709
34.91965,33.55731,10043.500321391984,9472.1416
35.03735,33.67643,10044.000321407984,9472.61328
35.15501,33.79558,10044.500321423984,9473.08398
35.27264,33.91475,10045.000321439984,9473.55469
35.39022,34.03395,10045.500321455984,9474.02637
35.50777,34.15316,10046.000321471984,9474.49707
35.62527,34.27241,10046.500321487983,9474.96875
35.74274,34.39167,10047.000321503983,9475.43945
35.86018,34.51096,10047.500321519983,9475.91113
35.97757,34.63027,10048.000321535983,9476.38184
36.09492,34.74961,10048.500321551983,9476.85352
36.21224,34.86897,10049.00032156798,9477.32422
36.32952,34.98835,10049.50032158398,9477.7959
36.44675,35.10776,10050.00032159998,9478.2666
36.56395,35.22719,10050.50032161598,9478.73828
36.68111,35.34664,10051.00032163198,9479.20898
36.79824,35.46612,10051.50032164798,9479.67969
36.91533,35.58562,10052.00032166398,9480.15137
37.03237,35.70514,10052.50032167998,9480.62207
37.14938,35.82469,10053.00032169598,9481.09375
37.26635,35.94426,10053.50032171198,9481.56445
37.38327,36.06385,10054.00032172798,9482.03613
37.50017,36.18347,10054.500321743979,9482.50684
37.61702,36.30311,10055.000321759979,9482.97852
37.73383,36.42278,10055.500321775979,9483.44922
37.85061,36.54246,10056.000321791978,9483.9209
37.96735,36.66217,10056.500321807978,9484.39258
38.08405,36.78191,10057.000321823978,9484.86328
38.20071,36.90166,10057.500321839978,9485.33496
38.31733,37.02145,10058.000321855978,9485.80566
38.43391,37.14125,10058.500321871978,9486.27734
38.55045,37.26108,10059.000321887977,9486.74805
38.66696,37.38092,10059.500321903977,9487.21973
38.78342,37.5008,10060.000321919977,9487.69043
38.89985,37.6207,10060.500321935977,9488.16211
39.01624,37.74062,10061.000321951977,9488.63281
39.13259,37.86056,10061.500321967977,9489.10449
39.2489,37.98053,10062.000321983976,9489.57617
39.36517,38.10051,10062.500321999976,9490.04688
39.48141,38.22053,10063.000322015976,9490.51855
39.59761,38.34056,10063.500322031976,9490.98926
39.71376,38.46062,10064.000322047976,9491.46094
39.82988,38.5807,10064.500322063976,9491.93164
39.94596,38.70081,10065.000322079975,9492.40332
40.062,38.82094,10065.500322095975,9492.875
40.178,38.94109,10066.000322111975,9493.3457
40.29396,39.06126,10066.500322127975,9493.81738
40.40989,39.18146,10067.000322143975,9494.28809
40.52578,39.30168,10067.500322159975,9494.75977
40.64162,39.42192,10068.000322175974,9495.23145
40.75743,39.54219,10068.500322191974,9495.70215
40.8732,39.66248,10069.000322207974,9496.17383
40.98893,39.78279,10069.500322223974,9496.64453
41.10463,39.90313,10070.000322239974,9497.11621
41.22028,40.02349,10070.500322255974,9497.58789
41.33589,40.14387,10071.000322271973,9498.05859
41.45147,40.26427,10071.500322287973,9498.53027
41.56701,40.3847,10072.000322303973,9499.00195
41.6825,40.50515,10072.500322319973,9499.47266
41.79796,40.62563,10073.000322335973,9499.94434
41.91338,40.74612,10073.500322351972,9500.41602
42.02876,40.86664,10074.000322367972,9500.88672
42.14411,40.98719,10074.500322383972,9501.3584
42.25941,41.10775,10075.000322399972,9501.8291
42.37468,41.22834,10075.500322415972,9502.30078
42.4899,41.34895,10076.000322431972,9502.77246
42.60509,41.46959,10076.500322447971,9503.24316
42.72024,41.59024,10077.000322463971,9503.71484
42.83535,41.71092,10077.500322479971,9504.18652
42.95042,41.83163,10078.000322495971,9504.6582
43.06546,41.95235,10078.50032251197,9505.12891
43.18045,42.0731,10079.00032252797,9505.60059
43.2954,42.19387,10079.50032254397,9506.07227
43.41032,42.31466,10080.00032255997,9506.54297
43.5252,42.43548,10080.50032257597,9507.01465
43.64003,42.55632,10081.00032259197,9507.48633
43.75483,42.67719,10081.50032260797,9507.95703
43.86959,42.79807,10082.00032262397,9508.42871
43.98431,42.91898,10082.50032263997,9508.90039
44.099,43.03991,10083.00032265597,9509.37207
44.21364,43.16086,10083.50032267197,9509.84277
44.32825,43.28183,10084.000322687969,9510.31445
44.44281,43.40283,10084.500322703969,9510.78613
44.55734,43.52385,10085.000322719969,9511.25684
44.67183,43.6449,10085.500322735968,9511.72852
44.78627,43.76596,10086.000322751968,9512.2002
44.90069,43.88705,10086.500322767968,9512.67188
45.01506,44.00817,10087.000322783968,9513.14258
45.12939,44.1293,10087.500322799968,9513.61426
45.24368,44.25046,10088.000322815968,9514.08594
45.35794,44.37164,10088.500322831967,9514.55762
45.47215,44.49284,10089.000322847967,9515.02832
45.58633,44.61406,10089.500322863967,9515.5
45.70047,44.73531,10090.000322879967,9515.97168
45.81456,44.85658,10090.500322895967,9516.44336
45.92862,44.97787,10091.000322911967,9516.91504
46.04264,45.09919,10091.500322927966,9517.38574
46.15663,45.22053,10092.000322943966,9517.85742
46.27057,45.34189,10092.500322959966,9518.3291
46.38447,45.46327,10093.000322975966,9518.80078
46.49834,45.58467,10093.500322991966,9519.27246
46.61216,45.7061,10094.000323007966,9519.74316
46.72595,45.82755,10094.500323023965,9520.21484
46.83969,45.94902,10095.000323039965,9520.68652
46.9534,46.07052,10095.500323055965,9521.1582
47.06707,46.19204,10096.000323071965,9521.62988
47.1807,46.31358,10096.500323087965,9522.10059
47.2943,46.43514,10097.000323103965,9522.57227
47.40785,46.55672,10097.500323119964,9523.04395
47.52136,46.67833,10098.000323135964,9523.51563
47.63484,46.79996,10098.500323151964,9523.9873
47.74827,46.92161,10099.000323167964,9524.45898
47.8617,47.04325,10099.500323183964,9524.93066
47.9751,47.1649,10100.000323199964,9525.40234
48.08849,47.28654,10100.500323215963,9525.87402
48.20185,47.40818,10101.000323231963,9526.34473
48.31519,47.52982,10101.500323247963,9526.81641
48.42851,47.65147,10102.000323263963,9527.28809
