X DEV,Y DEV,DEPTH,TVD
-70.34166,47.44605,10570.000338240001,9452.46484
-70.55017,47.58669,10570.500338256,9452.89746
-70.75871,47.72735,10571.000338272,9453.3291
-70.96728,47.86803,10571.500338288,9453.76074
-71.17587,48.00873,10572.000338304,9454.19336
-71.38448,48.14944,10572.50033832,9454.625
-71.59312,48.29017,10573.000338336,9455.05762
-71.80178,48.43091,10573.500338352,9455.48926
-72.01047,48.57167,10574.000338368,9455.92188
-72.21918,48.71246,10574.500338384,9456.35352
-72.42793,48.85325,10575.0003384,9456.78516
-72.63669,48.99406,10575.500338415999,9457.21777
-72.84548,49.1349,10576.000338431999,9457.64941
-73.05429,49.27574,10576.500338447999,9458.08105
-73.26313,49.41661,10577.000338463999,9458.51367
-73.472,49.55749,10577.500338479998,9458.94531
-73.68089,49.69838,10578.000338495998,9459.37695
-73.8898,49.8393,10578.500338511998,9459.80859
-74.09874,49.98023,10579.000338527998,9460.24121
-74.3077,50.12118,10579.500338543998,9460.67285
-74.51669,50.26214,10580.000338559998,9461.10449
-74.72571,50.40313,10580.500338575997,9461.53613
-74.93475,50.54412,10581.000338591997,9461.96777
-75.14381,50.68514,10581.500338607997,9462.39941
-75.3529,50.82617,10582.000338623997,9462.83105
-75.56202,50.96722,10582.500338639997,9463.2627
-75.77116,51.10829,10583.000338655997,9463.69531
-75.98032,51.24937,10583.500338671996,9464.12695
-76.18951,51.39047,10584.000338687996,9464.55859
-76.39873,51.53159,10584.500338703996,9464.99023
-76.60796,51.67272,10585.000338719996,9465.42188
-76.81723,51.81388,10585.500338735996,9465.85352
-77.02652,51.95504,10586.000338751996,9466.28516
-77.23583,52.09623,10586.500338767995,9466.7168
-77.44518,52.23743,10587.000338783995,9467.14746
-77.65454,52.37865,10587.500338799995,9467.5791
-77.86393,52.51988,10588.000338815995,9468.01074
-78.07335,52.66114,10588.500338831995,9468.44238
-78.28278,52.8024,10589.000338847994,9468.87402
-78.49225,52.94369,10589.500338863994,9469.30566
-78.70174,53.085,10590.000338879994,9469.7373
-78.91125,53.22631,10590.500338895994,9470.16797
-79.1208,53.36765,10591.000338911994,9470.59961
-79.33036,53.509,10591.500338927994,9471.03125
-79.53995,53.65037,10592.000338943993,9471.46289
-79.74957,53.79176,10592.500338959993,9471.89355
-79.95921,53.93316,10593.000338975993,9472.3252
-80.16887,54.07458,10593.500338991993,9472.75684
-80.37856,54.21602,10594.000339007993,9473.1875
-80.58827,54.35748,10594.500339023993,9473.61914
-80.79802,54.49895,10595.000339039992,9474.05078
-81.00778,54.64044,10595.500339055992,9474.48145
-81.21757,54.78194,10596.000339071992,9474.91309
-81.42739,54.92347,10596.500339087992,9475.34473
-81.63722,55.065,10597.000339103992,9475.77539
-81.84709,55.20656,10597.500339119992,9476.20703
-82.05698,55.34813,10598.000339135991,9476.6377
-82.2669,55.48972,10598.500339151991,9477.06934
-82.47684,55.63133,10599.000339167991,9477.5
-82.68427,55.7713,10599.50033918399,9477.93262
-82.89168,55.91135,10600.000339199989,9478.36621
-83.09906,56.05149,10600.500339215989,9478.79883
-83.30642,56.19172,10601.000339231989,9479.23145
-83.51375,56.33203,10601.500339247988,9479.66406
-83.72105,56.47243,10602.000339263988,9480.09668
-83.92833,56.61291,10602.500339279988,9480.53027
-84.13557,56.75348,10603.000339295988,9480.96289
-84.3428,56.89414,10603.500339311988,9481.39551
-84.55,57.03488,10604.000339327988,9481.82813
-84.75717,57.17571,10604.500339343987,9482.26074
-84.96432,57.31662,10605.000339359987,9482.69336
-85.17143,57.45763,10605.500339375987,9483.12598
-85.37852,57.59871,10606.000339391987,9483.55859
-85.58559,57.73988,10606.500339407987,9483.99121
-85.79263,57.88114,10607.000339423987,9484.42383
-85.99964,58.02249,10607.500339439986,9484.85645
-86.20663,58.16392,10608.000339455986,9485.28906
-86.41358,58.30543,10608.500339471986,9485.72168
-86.62051,58.44704,10609.000339487986,9486.1543
-86.82742,58.58872,10609.500339503986,9486.58691
-87.03429,58.7305,10610.000339519986,9487.01953
-87.24115,58.87236,10610.500339535985,9487.45215
-87.44798,59.01431,10611.000339551985,9487.88477
-87.65477,59.15634,10611.500339567985,9488.31738
-87.86154,59.29845,10612.000339583985,9488.75
-88.06828,59.44066,10612.500339599985,9489.18262
-88.275,59.58295,10613.000339615985,9489.61426
-88.48169,59.72532,10613.500339631984,9490.04688
-88.68835,59.86779,10614.000339647984,9490.47949
-88.89499,60.01033,10614.500339663984,9490.91211
-89.10159,60.15297,10615.000339679984,9491.34473
-89.30817,60.29568,10615.500339695984,9491.77637
-89.51473,60.43849,10616.000339711984,9492.20898
-89.72125,60.58138,10616.500339727983,9492.6416
-89.92776,60.72436,10617.000339743983,9493.07422
-90.13422,60.86742,10617.500339759983,9493.50586
-90.34067,61.01057,10618.000339775983,9493.93848
-90.54709,61.1538,10618.500339791983,9494.37109
-90.75348,61.29713,10619.000339807983,9494.80273
-90.95984,61.44053,10619.500339823982,9495.23535
-91.16618,61.58403,10620.000339839982,9495.66797
-91.37248,61.7276,10620.500339855982,9496.09961
-91.57876,61.87127,10621.000339871982,9496.53223
-91.78501,62.01501,10621.500339887982,9496.96387
-91.99124,62.15885,10622.000339903982,9497.39648
-92.19743,62.30277,10622.500339919981,9497.82813
-92.4036,62.44678,10623.000339935981,9498.26074
-92.60975,62.59087,10623.500339951981,9498.69238
-92.81586,62.73505,10624.00033996798,9499.125
-93.02194,62.87931,10624.50033998398,9499.55664
-93.228,63.02367,10625.00033999998,9499.98926
-93.43404,63.1681,10625.50034001598,9500.4209
-93.64004,63.31262,10626.00034003198,9500.85352
-93.84601,63.45723,10626.50034004798,9501.28516
-94.05196,63.60192,10627.00034006398,9501.71777
-94.25787,63.7467,10627.50034007998,9502.14941
-94.46377,63.89157,10628.00034009598,9502.58105
-94.66963,64.03651,10628.50034011198,9503.01367
-94.87547,64.18155,10629.00034012798,9503.44531
-95.08127,64.32668,10629.500340143979,9503.87695
-95.28705,64.47188,10630.000340159979,9504.30957
-95.4928,64.61717,10630.500340175979,9504.74121
-95.69852,64.76255,10631.000340191978,9505.17285
-95.90421,64.90801,10631.500340207978,9505.60449
-96.10988,65.05357,10632.000340223978,9506.03711
-96.31552,65.1992,10632.500340239978,9506.46875
-96.52113,65.34492,10633.000340255978,9506.90039
-96.72671,65.49073,10633.500340271978,9507.33203
-96.93226,65.63663,10634.000340287977,9507.76367
-97.13779,65.7826,10634.500340303977,9508.19629
-97.34328,65.92867,10635.000340319977,9508.62793
-97.54874,66.07481,10635.500340335977,9509.05957
