,DEPTH,TVD,Rt,density_porosity,GR,Sw,Vshale
0,11333.50036267191,10260.07324,2.73013,0.1082872928176794,80.62899999999999,1.2922463587603186,0.3662317562435945
1,11334.000362687908,10260.52637,2.43689,0.11878453038674025,72.465,1.2469143679818024,0.25301560604974765
2,11334.50036270391,10260.98047,2.3015,0.1254143646408839,71.719,1.2152390185180701,0.24363737334821386
3,11335.000362719908,10261.43359,2.06478,0.13977900552486194,71.768,1.1511598620419403,0.24424871423807942
4,11335.500362735907,10261.88672,1.94019,0.16243093922651936,72.907,1.0219357466233467,0.25864431921208336
5,11336.000362751909,10262.33984,1.91615,0.18011049723756908,73.34100000000001,0.927386352009048,0.26422402799014255
6,11336.500362767907,10262.79297,1.9623400000000002,0.19060773480662968,74.85300000000001,0.8659380608449426,0.28407936696647246
7,11337.000362783909,10263.24609,2.09713,0.20883977900552486,74.097,0.7645195152251358,0.2740701241945789
8,11337.500362799907,10263.69922,2.21771,0.22154696132596674,74.986,0.7008035644170781,0.28585732993614865
9,11338.000362815908,10264.15234,2.21126,0.19723756906077333,77.249,0.7883243311410851,0.31691073212811743
10,11338.500362831906,10264.60547,2.03527,0.17569060773480666,77.215,0.922475661356284,0.3164327833003408
11,11339.000362847904,10265.05859,2.01985,0.16795580110497227,75.248,0.9686344460779456,0.2893748560504178
12,11339.500362863906,10265.51172,1.9573900000000002,0.1558011049723757,73.279,1.060730999482004,0.26342370023259953
13,11340.000362879904,10265.96582,2.00155,0.169060773480663,70.908,0.9666926216731304,0.2336130669312978
14,11340.500362895906,10266.41895,1.96019,0.17900552486187835,67.348,0.9225692119959064,0.19164165020989277
15,11341.000362911907,10266.87207,1.83275,0.18674033149171276,62.008,0.9145863971077184,0.1344714994742548
16,11341.500362927904,10267.3252,1.81113,0.1895027624309392,59.907,0.9066175460516698,0.11373554406154074
17,11342.000362943903,10267.77832,1.7199400000000002,0.1928176795580109,61.471000000000004,0.9143468576910018,0.1290811166409309
18,11342.500362959905,10268.23145,1.6206200000000002,0.20828729281767944,63.035,0.8719891974789502,0.14495738053171303
19,11343.000362975903,10268.68457,1.64766,0.22154696132596674,64.59100000000001,0.8130455556911461,0.16129724267826806
20,11343.500362991905,10269.1377,2.18011,0.22762430939226516,64.625,0.6879496159597089,0.161660489944332
21,11344.000363007903,10269.5918,2.1311299999999997,0.23867403314917124,63.068999999999996,0.663596877640835,0.14530854669953955
22,11344.500363023904,10270.04492,2.3283099999999997,0.2298342541436464,63.048,0.6592942980473797,0.14509161930292044
23,11345.000363039904,10270.49805,2.49004,0.22541436464088396,63.773,0.6500245018934039,0.1526383825105378
24,11345.500363055904,10270.95117,2.5585,0.22154696132596674,67.859,0.6524631204186057,0.19746839630857743
25,11346.000363071904,10271.4043,2.48207,0.22375690607734794,70.77199999999999,0.655890010047907,0.2319492836214824
26,11346.500363087904,10271.85742,2.54282,0.21270718232044186,73.181,0.681670521033927,0.2621608639203273
27,11347.000363103904,10272.311520000001,2.98322,0.22486187845303868,73.275,0.5953275787859622,0.26337210321414095
28,11347.500363119905,10272.76465,3.25705,0.22762430939226516,74.042,0.5628382748830502,0.2733483371821889
29,11348.000363135901,10273.217770000001,4.039680000000001,0.22762430939226516,74.479,0.5053850072004153,0.27910714500850264
30,11348.5003631519,10273.6709,4.27756,0.2060773480662982,74.848,0.5424830402300379,0.2840126264570191
31,11349.000363167901,10274.124020000001,4.09535,0.21270718232044186,73.25399999999999,0.5371391538891052,0.26310129246085123
32,11349.500363183899,10274.57813,4.69873,0.2171270718232043,74.791,0.491258702244436,0.2832522971416792
33,11350.0003631999,10275.03125,4.79286,0.2171270718232043,76.404,0.4864107112984027,0.3051363779425103
34,11350.5003632159,10275.48438,5.13472,0.2265193370165744,76.45,0.4504543780524719,0.305771797506862
35,11351.000363231899,10275.9375,5.38375,0.2320441988950276,76.454,0.4294388382772877,0.3058270814155488
36,11351.5003632479,10276.39063,5.55652,0.23149171270718236,79.575,0.4237186580568593,0.35046118904289203
37,11352.000363263898,10276.844729999999,5.2511,0.22762430939226516,78.584,0.4432724004571767,0.33595924690629064
38,11352.5003632799,10277.29785,5.023680000000001,0.22928176795580116,77.405,0.44991862471295496,0.3191082081463387
39,11353.000363295901,10277.750979999999,4.96561,0.2320441988950276,77.23899999999999,0.4471543481307336,0.31677012227234125
40,11353.5003633119,10278.2041,4.87067,0.22541436464088396,79.468,0.4647704800242332,0.3488803022598738
41,11354.000363327901,10278.6582,4.60942,0.2171270718232043,79.69800000000001,0.4959950711187099,0.35228301888256897
42,11354.5003633439,10279.11133,4.65899,0.21270718232044186,78.335,0.5036008256145249,0.33236431410821843
43,11355.0003633599,10279.56445,4.49252,0.22375690607734794,75.98,0.4875206537635133,0.2993092900531906
44,11355.5003633759,10280.01758,4.71963,0.2171270718232043,77.97800000000001,0.4901697716686069,0.3272439637167175
45,11356.000363391899,10280.47168,4.37317,0.19944751381215456,77.07300000000001,0.5543546184534279,0.3144404581768482
46,11356.500363407898,10280.9248,4.60312,0.19944751381215456,75.916,0.5403307724193276,0.2984343855342399
47,11357.000363423898,10281.37793,4.43776,0.20386740331491696,74.166,0.5383748704531647,0.27497686007390626
48,11357.500363439898,10281.83105,4.64255,0.21049723756906066,72.539,0.5097882033209671,0.2539542045602517
49,11358.000363455898,10282.28516,4.72768,0.19502762430939213,73.265,0.5452482874445223,0.2632431302945234
50,11358.500363471898,10282.73828,4.4810099999999995,0.19944751381215456,73.90100000000001,0.5476434448223869,0.27150187488327326
