,Rt,DEPTH,density_porosity,TVD,GR,Sw,Vshale
96,10.648060000000001,10932.000349823653,0.2480662983425413,10316.85059,59.43899999999999,0.2856350289686982,0.20078214533126706
97,12.60697,10932.500349839653,0.2519337016574585,10317.32227,58.336999999999996,0.2584775626142946,0.1768234962781095
98,14.145660000000001,10933.000349855653,0.2491712707182321,10317.79395,56.762,0.2467203102746911,0.14444646715830697
99,15.2374,10933.500349871652,0.2519337016574585,10318.26563,55.373000000000005,0.23511090607908144,0.11761375928022233
100,15.82823,10934.000349887652,0.253038674033149,10318.7373,54.4,0.2296737692945309,0.0997263983407665
101,15.601820000000002,10934.500349903652,0.2519337016574585,10319.20898,57.55,0.2323488770557183,0.16037811541519292
102,15.146939999999999,10935.000349919652,0.2541436464088397,10319.68164,58.777,0.2337613829148073,0.18625706042930235
103,14.738470000000001,10935.500349935652,0.2569060773480662,10320.15332,59.912,0.23443038365992974,0.21140998860859464
104,14.51498,10936.000349951652,0.2519337016574585,10320.625,61.488,0.2408906749838281,0.24838096321105427
105,14.4548,10936.500349967653,0.2519337016574585,10321.09668,61.052,0.24139160697295586,0.23790741345428493
106,14.553420000000001,10937.000349983653,0.25635359116022105,10321.56836,60.7,0.2364245331099532,0.2295902346391732
107,15.064039999999999,10937.500349999653,0.2535911602209945,10322.04004,58.538999999999994,0.23491439841046996,0.18113276424494562
108,16.20594,10938.000350015649,0.2469613259668509,10322.51172,56.762,0.23256717398025595,0.14444646715830697
109,17.592389999999998,10938.50035003165,0.24861878453038655,10322.9834,54.4,0.2217267627190229,0.0997263983407665
110,18.7353,10939.00035004765,0.2475138121546961,10323.4541,52.825,0.21581653337418102,0.07227450588747696
111,19.45116,10939.50035006365,0.2298342541436464,10323.92578,52.825,0.22810088397139264,0.07227450588747696
112,20.06138,10940.00035007965,0.2353591160220993,10324.39746,52.825,0.21933253129561006,0.07227450588747696
113,20.49329,10940.50035009565,0.2668508287292818,10324.86914,52.825,0.1913991824728716,0.07227450588747696
114,20.68355,10941.00035011165,0.2878453038674033,10325.34082,52.825,0.17662118267566967,0.07227450588747696
115,20.43647,10941.50035012765,0.2961325966850829,10325.8125,53.613,0.17271311671180076,0.08578265986088077
116,19.85042,10942.00035014365,0.29502762430939217,10326.28418,52.037,0.1759004477721117,0.05920521154287581
117,19.15214,10942.50035015965,0.3005524861878453,10326.75488,51.25,0.17578649163108845,0.04657630229802427
118,18.38926,10943.00035017565,0.3066298342541435,10327.22656,52.825,0.17584010821751012,0.07227450588747696
119,17.855520000000002,10943.500350191647,0.32430939226519323,10327.69824,55.975,0.1687208285942449,0.1290516543511238
120,17.09821,10944.000350207647,0.3281767955801104,10328.16992,56.762,0.17038497061859975,0.14444646715830697
121,16.07882,10944.500350223647,0.31602209944751386,10328.64063,56.762,0.1824609520463614,0.14444646715830697
122,15.37914,10945.000350239648,0.2861878453038673,10329.1123,56.762,0.2060142526417027,0.14444646715830697
123,14.93169,10945.500350255648,0.26132596685082865,10329.58398,57.55,0.22896939093636945,0.16037811541519292
124,14.9405,10946.000350271648,0.2646408839779006,10330.05566,57.55,0.22603462568268465,0.16037811541519292
125,15.198939999999999,10946.500350287648,0.26740331491712704,10330.52637,57.55,0.22178952977539687,0.16037811541519292
126,15.779370000000002,10947.000350303648,0.253038674033149,10330.99805,59.125,0.2300290809075464,0.1938423471495058
127,16.37932,10947.500350319648,0.24088397790055244,10331.46875,57.55,0.2371693858300237,0.16037811541519292
128,16.685570000000002,10948.000350335647,0.2270718232044199,10331.94043,56.156000000000006,0.2492761374131757,0.13254743470202543
129,16.903470000000002,10948.500350351647,0.21602209944751385,10332.41211,55.187,0.26033248329462544,0.11413775575132262
130,16.921789999999998,10949.000350367647,0.2259668508287292,10332.88281,54.4,0.24874055184661745,0.0997263983407665
131,16.66774,10949.500350383647,0.23867403314917124,10333.35449,54.4,0.2372853614328682,0.0997263983407665
132,16.845110000000002,10950.000350399649,0.2580110497237569,10333.8252,54.4,0.21834298627906698,0.0997263983407665
133,16.84088,10950.500350415648,0.27292817679558,10334.29688,54.198,0.20643518105453815,0.0961034527336516
134,16.73913,10951.000350431645,0.27292817679558,10334.76758,53.898,0.2070616460068493,0.09077913037025981
135,16.550720000000002,10951.500350447646,0.26132596685082865,10335.23926,53.613,0.21748207381922724,0.08578265986088077
136,16.820710000000002,10952.000350463646,0.2558011049723757,10335.70996,53.613,0.22038899241627904,0.08578265986088077
137,16.71332,10952.500350479646,0.25635359116022105,10336.18164,54.519,0.2206194041483458,0.10187510989796875
138,16.67932,10953.000350495646,0.2419889502762429,10336.65234,55.187,0.2339536208864195,0.11413775575132262
139,16.50527,10953.500350511646,0.22928176795580116,10337.124020000001,55.726000000000006,0.24821820965739885,0.124285674288716
140,16.62621,10954.000350527644,0.21325966850828731,10337.594729999999,55.975,0.2658943545956668,0.1290516543511238
141,16.978679999999997,10954.500350543643,0.19226519337016568,10338.06543,54.4,0.2918514440800868,0.0997263983407665
142,17.34675,10955.000350559643,0.18729281767955802,10338.53711,53.022,0.2964041596543707,0.07560983394367461
143,17.33237,10955.500350575645,0.19447513812154688,10339.00781,52.037,0.2855758070833034,0.05920521154287581
144,16.73977,10956.000350591645,0.20331491712707173,10339.47852,52.037,0.27795243952989424,0.05920521154287581
145,15.833570000000002,10956.500350607645,0.20331491712707173,10339.9502,49.675,0.28579577894437663,0.0225197579687527
146,15.43805,10957.000350623644,0.19944751381215456,10340.4209,49.396,0.2950459302937507,0.01842143250637069
147,15.41735,10957.500350639644,0.1955801104972376,10340.8916,48.887,0.3010820914564863,0.011066920635655932
148,16.82323,10958.000350655644,0.19723756906077333,10341.3623,50.253,0.2858052122191925,0.031164223677814438
149,16.31909,10958.500350671642,0.20220994475138127,10341.83398,51.25,0.28305054660789025,0.04657630229802427
150,15.14913,10959.000350687642,0.20110497237569053,10342.30469,50.461999999999996,0.29539138303897683,0.03434190398069452
151,14.794179999999999,10959.500350703642,0.20220994475138127,10342.77539,49.675,0.297280564828456,0.0225197579687527
152,14.183370000000002,10960.000350719642,0.20110497237569053,10343.24609,50.095,0.30528252999978633,0.028780366782685418
153,13.799220000000002,10960.50035073564,0.19944751381215456,10343.7168,50.461999999999996,0.3120747137721265,0.03434190398069452
