,DEPTH,Rt,GR,TVD,density_porosity,Sw,Vshale
0,10600.000339199909,11.414000000000001,70.998,10123.717770000001,0.14972375690607728,0.4570932700892989,0.37022929114008934
1,10600.500339215909,11.478,72.83,10124.17383,0.14917127071823205,0.4575053507450901,0.4004668772192499
2,10601.000339231909,11.607000000000001,72.46300000000001,10124.62988,0.14088397790055246,0.4817180053761746,0.39430663534645627
3,10601.500339247908,11.414000000000001,69.411,10125.08594,0.13149171270718232,0.5204717487151258,0.34504916270249314
4,10602.000339263906,11.607000000000001,71.487,10125.54199,0.1436464088397789,0.4724541975804792,0.37817569650899774
5,10602.500339279906,11.937999999999999,71.609,10125.99805,0.15745856353591142,0.4249936144399848,0.38017225132925575
6,10603.000339295906,11.870999999999999,68.434,10126.4541,0.16464088397790058,0.4075990240912763,0.32999999999999996
7,10603.500339311906,11.870999999999999,63.672,10126.91016,0.1823204419889503,0.36807427024000106,0.26131555185073474
8,10604.000339327906,11.870999999999999,61.23,10127.36621,0.1933701657458564,0.34704145479771525,0.22891484372173215
9,10604.500339343906,11.738,61.23,10127.82227,0.20220994475138127,0.3337451122411517,0.22891484372173215
10,10605.000339359904,11.478,64.283,10128.27832,0.20939226519337015,0.3259272947260537,0.2697119829422051
11,10605.500339375905,11.35,65.259,10128.73438,0.20939226519337015,0.327759970115362,0.2833723180322398
12,10606.000339391905,11.35,65.87,10129.19043,0.19779005524861884,0.34698611361374904,0.2920819458877121
13,10606.500339407905,11.414000000000001,66.847,10129.64648,0.20331491712707173,0.3366094461798913,0.3062665101573296
14,10607.000339423903,11.673,68.8,10130.10156,0.20220994475138127,0.33467303636637524,0.33559795288977795
15,10607.500339439903,11.937999999999999,68.556,10130.55762,0.21104972375690612,0.3170763877366374,0.33186073341384925
16,10608.000339455904,12.345999999999998,68.556,10131.01367,0.21823204419889505,0.3015315916347064,0.33186073341384925
17,10608.500339471904,12.985,71.975,10131.469729999999,0.2259668508287292,0.283954507509962,0.3861957525513295
18,10609.000339487904,13.658,74.173,10131.92578,0.21104972375690612,0.2964395429334917,0.42345971535703963
19,10609.500339503904,14.285,74.661,10132.38184,0.20718232044198892,0.2952715895333977,0.43199261075657275
20,10610.000339519904,14.94,71.242,10132.83789,0.20828729281767944,0.2871946881794072,0.37418316000154384
21,10610.500339535905,15.626,70.75399999999999,10133.29395,0.21215469613259666,0.27570073107509285,0.3662976225808594
22,10611.000339551905,16.07,71.85300000000001,10133.75,0.2171270718232043,0.2656394444649506,0.3841822634586087
23,10611.500339567903,16.252,69.899,10134.20605,0.20773480662983415,0.2760907142829756,0.3526940623268256
24,10612.000339583903,16.252,67.946,10134.66211,0.2099447513812154,0.27318449623789165,0.3226092315277175
25,10612.500339599903,16.343,66.847,10135.11816,0.21325966850828731,0.2681883183309637,0.3062665101573296
26,10613.000339615905,16.62,64.405,10135.57422,0.2176795580110498,0.2605441464815849,0.27140274676848747
27,10613.500339631904,16.714000000000002,63.184,10136.030270000001,0.22044198895027625,0.2565546895302813,0.2546939210359033
28,10614.000339647902,17.189,65.015,10136.48633,0.21104972375690612,0.26424354275395845,0.27992833662725913
