,DEPTH,Rt,TVD,density_porosity,GR,Sw,Vshale
0,10700.00034239974,1.3224200000000002,10622.0,0.14088397790055246,87.506,1.4271452199895889,0.4601970387897871
1,10700.500342415738,1.40256,10622.5,0.14530386740331486,87.506,1.3436203692194406,0.4601970387897871
2,10701.000342431738,1.4123299999999999,10623.0,0.14530386740331486,85.14399999999999,1.3389649586020589,0.3871460443359314
3,10701.500342447738,1.44784,10623.5,0.14530386740331486,79.828,1.3224431705999724,0.24649205308188096
4,10702.000342463738,1.40285,10624.0,0.14751381215469608,76.116,1.3233544206443224,0.16497973092571466
5,10702.500342479738,1.4557,10624.5,0.14088397790055246,74.512,1.3602443499244792,0.1334245561157738
6,10703.000342495738,1.62961,10625.0,0.13425414364640878,70.969,1.3491024717255924,0.07067048960454808
7,10703.500342511736,1.7765799999999998,10625.5,0.12320441988950268,69.788,1.4079777918083294,0.051701143862595986
8,10704.000342527735,1.95301,10626.0,0.12320441988950268,68.60600000000001,1.342876134132187,0.03361494964682549
9,10704.500342543737,2.01155,10626.5,0.12762430939226513,68.60600000000001,1.2773668938893692,0.03361494964682549
10,10705.000342559737,2.38062,10627.0,0.13204419889502755,70.969,1.1348804434444275,0.07067048960454808
11,10705.500342575737,2.56,10627.5,0.12762430939226513,72.109,1.1322989107492158,0.08987497464940271
12,10706.000342591737,2.64925,10628.0,0.14419889502762434,73.331,0.9851243937280718,0.11148418152280805
13,10706.500342607736,2.69592,10628.5,0.1558011049723757,74.512,0.9038376817271424,0.1334245561157738
14,10707.000342623736,3.15904,10629.0,0.17182320441988946,74.512,0.7571032326955716,0.1334245561157738
15,10707.500342639736,3.12633,10629.5,0.19613259668508284,74.512,0.6667258442488352,0.1334245561157738
16,10708.000342655736,3.6418199999999996,10630.0,0.21602209944751385,74.512,0.5608633431641665,0.1334245561157738
17,10708.500342671736,3.8021599999999998,10630.5,0.2353591160220993,73.331,0.5038117113555428,0.11148418152280805
18,10709.000342687736,5.02884,10631.0,0.253038674033149,73.331,0.4074681476645249,0.11148418152280805
19,10709.500342703737,6.99565,10631.5,0.26906077348066304,73.331,0.32490025657042193,0.11148418152280805
20,10710.000342719737,8.082180000000001,10632.0,0.28232044198895034,74.512,0.2880765403241314,0.1334245561157738
21,10710.500342735737,7.263539999999999,10632.5,0.2646408839779006,79.237,0.3241778759666532,0.2326683145262953
22,10711.000342751735,5.85879,10633.0,0.2491712707182321,83.175,0.3833650739194968,0.33143812625143515
23,10711.500342767735,3.97589,10633.5,0.22044198895027625,87.211,0.5260208711845741,0.45068149108520056
24,10712.000342783736,3.0864599999999998,10634.0,0.17790055248618789,88.68700000000001,0.7397872700832686,0.49946734508592505
25,10712.500342799734,3.00084,10634.5,0.17790055248618789,88.68700000000001,0.7502668541832322,0.49946734508592505
26,10713.000342815734,3.17909,10635.0,0.1823204419889503,88.68700000000001,0.7112588786222533,0.49946734508592505
27,10713.500342831734,3.2913099999999997,10635.5,0.20165745856353576,82.781,0.6319981295785518,0.32082163415129084
28,10714.000342847734,4.82637,10636.0,0.2149171270718231,80.292,0.4897034282173645,0.25758278541734453
29,10714.500342863734,6.4892900000000004,10636.5,0.2397790055248617,78.056,0.37853385807447976,0.2060293429194141
30,10715.000342879734,7.574610000000001,10637.0,0.2779005524861879,72.15,0.30230472037892825,0.09058255213858646
31,10715.500342895732,9.86214,10637.5,0.288950276243094,68.60600000000001,0.2548037301823698,0.03361494964682549
32,10716.000342911731,13.12318,10638.0,0.29558011049723737,67.425,0.21593335234480587,0.016399961581193518
33,10716.500342927731,16.11046,10638.5,0.2867403314917128,66.244,0.2008962007923683,0.0
34,10717.000342943731,19.39501,10639.0,0.2867403314917128,66.244,0.18309677307690528,0.0
35,10717.500342959731,21.54593,10639.5,0.2983425414364641,67.425,0.1669616276971589,0.016399961581193518
36,10718.000342975733,20.68124,10640.0,0.3016574585635358,69.788,0.16854354417024905,0.051701143862595986
37,10718.500342991732,19.64325,10640.5,0.2817679558011049,71.559,0.18514679732201034,0.08049737713795378
38,10719.000343007732,17.04589,10641.0,0.2756906077348067,73.19800000000001,0.2031340211429657,0.10907934401813309
39,10719.500343023732,15.65279,10641.5,0.2839779005524861,74.512,0.2057946373998327,0.1334245561157738
40,10720.000343039732,16.222920000000002,10642.0,0.2961325966850829,73.331,0.1938490821894452,0.11148418152280805
41,10720.500343055732,15.80137,10642.5,0.3016574585635358,74.512,0.1928204260474144,0.1334245561157738
42,10721.000343071732,19.10301,10643.0,0.29723756906077337,74.512,0.17797535787692542,0.1334245561157738
43,10721.500343087731,21.65478,10643.5,0.3016574585635358,73.331,0.16471134797858755,0.11148418152280805
44,10722.000343103731,29.73831,10644.0,0.29723756906077337,70.969,0.14264371276680726,0.07067048960454808
45,10722.500343119731,34.82027,10644.5,0.29723756906077337,69.558,0.13182406790706586,0.04811269888572967
46,10723.00034313573,33.246190000000006,10645.0,0.30386740331491696,68.60600000000001,0.13196520031409928,0.03361494964682549
47,10723.500343151729,29.644059999999996,10645.5,0.29723756906077337,69.788,0.14287029274303986,0.051701143862595986
48,10724.000343167729,26.53942,10646.0,0.2867403314917128,69.347,0.15652365496754891,0.044850368843294436
49,10724.500343183729,24.10332,10646.5,0.2756906077348067,68.60600000000001,0.17082603990301487,0.03361494964682549
50,10725.00034319973,22.02807,10647.0,0.2790055248618784,69.13600000000001,0.1765685904352735,0.04161618595734796
51,10725.50034321573,20.45937,10647.5,0.28232044198895034,69.788,0.18106146237774387,0.051701143862595986
