Sample	Depth	Water Content	Oil Content	Interconnected Porosity	Average Interconnected Porosity	Air Permeability	Air Permeability	Grain Density	Lithology Code
		% of pore volume	% of pore volume	% bulk volume	% bulk volume	horizontal	vertical		
	(feet)	(%)	(%)	(%)	(%)	mD	mD	g/cc	
505	10969.1			22.9	21.1	220.0		2.63	20
									
506	10970.2			17.9	19.5	31.0		2.69	20
507	10971.1			19.5	19.6	41.0		2.71	20
508	10972.1			21.7	21.4	270.0		2.65	20
509	10973.1			22.8	22.1	330.0		2.64	20
510	10974.1			21.2	22.2	220.0		2.65	20
									
511	10975.1			23.4	21.3	330.0		2.65	20
512	10976.0			17.4	20.2	51.0		2.84	20
513	10977.1			22.8	21.4	250.0		2.65	20
514	10977.7			22.5	22.5	430.0	160	2.64	20
515	10978.7			22.1	20.8	270.0		2.76	20
									
516	10979.8			16.4	18.8	27.0		2.79	20
517	10980.6			20.4	20.0	85.0		2.75	20
518	10981.6			22.7	21.4	270.0		2.68	20
519	10982.7			19.7	20.7	16.0		2.67	20
520	10983.6			20.6	20.7	270.0		2.71	20
									
521	10984.6			21.9	20.6	110.0		2.70	20
522	10985.5			18.1	20.1	91.0		3.31	20
523	10986.6			22.4	19.8	63.0		2.82	20
524	10987.6			16.1	18.9	74.0		2.71	20
525	10988.6			21.1	19.4	240.0		2.66	20
									
526	10989.5			19.5	19.8	160.0		2.66	20
527	10990.3			19.0	19.6	98.0		2.66	20
528	10991.3			21.1	21.0	110.0		2.66	20
529	10992.1			23.0	21.3	300.0		2.65	20
530	10993.2			18.3	19.9	7.2		2.66	20
									
531	10994.0			20.1	20.0	130.0		2.69	20
532	10994.9			21.4	21.2	29.0		2.66	20
533	10996.0			21.7	21.8	160.0		2.66	20
534	10997.0			22.6	21.5	220.0		2.66	20
535	10997.8			19.1	21.1	170.0		2.67	20
									
536	10998.9			23.6	23.0	250.0		2.73	20
537	10999.8			25.7	24.7	850.0		2.64	20
538	11000.7			23.9	23.6	510.0	350	2.66	20
539	11001.7			20.9	22.1	160.0		2.67	20
540	11002.7			22.5	21.9	280.0		2.68	20
									
541	11004.0			21.7	21.7	120.0		2.65	20
542	11004.7			20.8	20.3	200.0		2.65	20
543	11005.7			18.0	18.8	33.0		2.65	20
544	11006.4			18.3	19.5	60.0		2.67	20
545	11007.4			23.3	21.1	710.0		2.66	20
									
546	11008.5			19.6	20.8	120.0		2.69	20
547	11008.9			20.9	19.9	130.0		2.81	20
548	11009.9			18.3	18.4	140.0		2.68	20
549	11010.0			16.0	16.6	56.0		2.71	20
550	11011.6			16.1	17.1	47.0		2.69	20
									
551	11012.7			20.1	19.3	380.0		2.68	20
552	11013.9			21.0	21.5	250.0		2.66	20
553	11014.6			23.9	22.2	690.0		2.64	20
554	11015.6			20.1	22.2	170.0		2.65	20
555	11016.7			24.7		630.0		2.64	20
