Sample	Depth	Water Content	Oil Content	Interconnected Porosity	Average Interconnected Porosity	Air Permeability	Air Permeability	Grain Density	Lithology Code
		% of pore volume	% of pore volume	% bulk volume	% bulk volume	horizontal	vertical		
	(feet)	(%)	(%)	(%)	(%)	mD	mD	g/cc	
121	10392.3			29.1	28.7	700.0		2.62	20
122	10392.9			27.8	27.1	460.0		2.63	20
123	10393.9			23.7	25.8	110.0		2.63	20
124	10394.9			28.1	27.2	620.0		2.62	20
125	10395.7			28.7	28.5	650.0	420	2.63	20
									
126	10396.7			28.6	28.5	650.0		2.63	20
127	10397.5	48	19	28.1	28.4	690.0		2.62	20
128	10398.4			28.6	28.5	680.0		2.67	20
129	10399.4			28.8	29.1	750.0		2.65	20
130	10400.4			30.3	29.6	990.0		2.62	20
									
131	10401.2	51	20	28.9	29.4	930.0		2.62	20
132	10402.8			29.5	28.7	880.0		2.63	20
133	10403.7			26.9	28.1	1600.0		2.61	20
134	10404.7			29.1	27.9	1100.0		2.63	20
135	10405.5			26.5		140.0		2.62	20
									
136	10422.2			24.8		1100.0		2.63	20
137	10423.4			25.0	25.3	850.0		2.62	20
138	10424.4			26.2	26.2	1100.0		2.63	20
139	10424.8			27.3	27.5	1600.0		2.63	20
140	10425.7			29.2	28.0			2.62	20
									
141	10426.6	46	19	26.2	26.6	1200.0		2.62	20
142	10427.8			24.8	25.8	350.0		2.63	20
143	10428.7			27.2	25.3	3200.0		2.63	20
144	10429.8			21.8	22.8	120.0		2.62	20
145	10430.2			20.5		140.0	110	2.62	20
									
146	10482.2			28.7		3500.0		2.62	20
147	10483.2			28.0	28.3	4000.0		2.63	20
148	10484.5	44	21	28.4	28.7	2800.0		2.63	20
149	10485.2			29.8	29.0	4500.0		2.62	20
150	10486.2			28.0	28.3	3500.0		2.62	20
									
151	10487.3			27.3	27.8	3600.0		2.62	20
152	10488.2			28.5	27.3	2400.0		2.62	20
153	10489.2			24.8	26.9	2500.0		2.62	20
154	10489.8	40	24	29.7	27.5	3200.0		2.62	20
155	10491.1			25.8	27.5	1300.0		2.62	20
									
156	10492.1			28.7	27.6	1900.0		2.63	20
157	10494.1			27.2	27.7	110.0		2.62	20
158	10495.1			27.6	27.7	2500.0		2.62	20
159	10496.0			28.3	27.8	1400.0		2.62	20
160	10497.1			27.0	28.6	530.0		2.63	20
									
161	10498.2			31.8	29.6	4300.0		2.62	20
162	10499.4			27.6	29.0	2800.0		2.62	20
163	10500.4	45	18	29.1	29.3	2800.0		2.62	20
164	10501.3			31.4	30.2	3900.0	3500	2.62	20
165	10502.2			28.8	30.0	2500.0		2.62	20
									
166	10502.8			30.9	30.1	3400.0		2.63	20
167	10503.7			29.8	30.2	2400.0		2.62	20
