Depth,Porosity,Saturation 
10630,0.196942,0.511284
10630.5,0.230093,0.459276
10631,0.249486,0.371449
10631.5,0.267062,0.29618
10632,0.269669,0.262611
10636.5,0.179431,0.345072
10637,0.287601,0.275582
10637.5,0.31697,0.23228
10638,0.324242,0.196845
10638.5,0.314545,0.183137
10639,0.314545,0.166911
10639.5,0.327273,0.152202
10640,0.330909,0.153645
10640.5,0.29689,0.16878
10641,0.275609,0.185177
10641.5,0.271487,0.187603
10642,0.296759,0.176713
10642.5,0.290881,0.175776
10643,0.286033,0.162243
10643.5,0.30282,0.150151
10644,0.31866,0.130034
10644.5,0.326061,0.120171
10645,0.333333,0.1203
10645.5,0.326061,0.130241
10646,0.314545,0.142687
10646.5,0.302424,0.155725
10647,0.306061,0.16096
10647.5,0.309697,0.165056
10648,0.29573,0.166089
10648.5,0.28179,0.173002
10649,0.240824,0.208149
10649.5,0.214892,0.210175
10651,0.206123,0.182815
10651.5,0.212258,0.17699
10652,0.228522,0.162997
10655,0.226098,0.158653
10657.5,0.215813,0.106902
10658,0.249904,0.09404
10658.5,0.272946,0.086209
10659,0.275996,0.082485
10659.5,0.277724,0.083732
10660,0.268633,0.091339
10660.5,0.254158,0.095819
10661,0.291049,0.096377
10661.5,0.308814,0.103064
10662,0.308733,0.11022
10662.5,0.302297,0.12303
10663,0.295024,0.139763
10663.5,0.307273,0.164649
10664,0.302424,0.180213
10664.5,0.307273,0.188755
10665,0.307273,0.208494
10665.5,0.295152,0.195571
10666,0.307273,0.156354
10666.5,0.307273,0.126729
10667,0.309697,0.11917
10667.5,0.3,0.124211
10668,0.307273,0.129878
10668.5,0.313333,0.13423
10669,0.314545,0.154947
10669.5,0.304849,0.18278
10670,0.299463,0.219194
10670.5,0.26942,0.261136
10694,0.183093,0.354467
10694.5,0.227773,0.286081
10695,0.261361,0.262978
10695.5,0.286456,0.282934
10696,0.223673,0.306488
10696.5,0.234212,0.306536
10697,0.260149,0.299619
10697.5,0.25537,0.286985
10698,0.282443,0.280244
10698.5,0.284032,0.286094
10699,0.29565,0.291101
10699.5,0.302147,0.317633
10700,0.250881,0.361746
10706,0.233056,0.39264
10706.5,0.266885,0.294706
10707,0.306257,0.186429
10707.5,0.322214,0.135739
10708,0.315063,0.126314
10708.5,0.303557,0.119926
10709,0.302424,0.121824
10709.5,0.312121,0.112606
10710,0.324242,0.105099
10710.5,0.338182,0.095332
10711,0.347879,0.088893
10711.5,0.350303,0.087288
10712,0.350303,0.086538
10712.5,0.325933,0.093921
10713,0.325362,0.094906
10713.5,0.311238,0.10006
10714,0.294335,0.103876
10714.5,0.319394,0.105786
10715,0.31697,0.107453
10715.5,0.31697,0.108071
10716,0.306602,0.108262
10716.5,0.267245,0.119182
10717,0.292363,0.129147
10717.5,0.302424,0.139656
10718,0.297576,0.160431
10718.5,0.302424,0.170934
10719,0.287751,0.192348
10719.5,0.285327,0.216496
10720,0.300556,0.21653
10720.5,0.309697,0.225962
10721,0.303509,0.241238
10721.5,0.294292,0.260944
10722,0.274518,0.285899
10732.5,0.277724,0.254105
10733,0.298154,0.237722
10733.5,0.284997,0.199604
10734,0.267842,0.168077
10734.5,0.255795,0.166511
10735,0.249734,0.159155
10735.5,0.249734,0.200642
10736,0.257997,0.265406
10736.5,0.265673,0.275341
10737,0.285719,0.277059
10737.5,0.30179,0.255522
10738,0.285067,0.218598
10738.5,0.306815,0.174918
10739,0.3127,0.139279
10739.5,0.321012,0.141337
10740,0.330881,0.14121
10740.5,0.325146,0.153552
10741,0.325603,0.163205
10741.5,0.330332,0.169973
10742,0.343426,0.176938
10742.5,0.327484,0.182899
10743,0.313482,0.189384
10743.5,0.313482,0.197397
10744,0.320754,0.194235
10744.5,0.323179,0.193382
10745,0.297613,0.19133
10745.5,0.285492,0.198153
10746,0.293901,0.200103
10746.5,0.313482,0.198891
10747,0.336091,0.196479
10747.5,0.356692,0.195679
10748,0.340329,0.203958
10748.5,0.340329,0.202705
10749,0.337904,0.208507
10749.5,0.321796,0.219107
10750,0.297118,0.230436
10750.5,0.299542,0.240886
10751,0.324638,0.244512
10751.5,0.304391,0.247496
10752,0.286446,0.248799
10755,0.265673,0.243864
10755.5,0.285067,0.230593
10756,0.257007,0.238529
10756.5,0.26428,0.246138
10757,0.297118,0.248238
10757.5,0.294824,0.260013
10758,0.312517,0.263475
10758.5,0.322229,0.2616
10759,0.334881,0.260243
