Depth,Porosity,Saturation 
10253,0.187236,0.663271
10253.5,0.21203,0.60432
10254,0.220514,0.569446
10271.5,0.268247,0.285602
10272,0.277016,0.289996
10272.5,0.277561,0.294644
10273,0.280235,0.298389
10273.5,0.277204,0.302073
10274,0.265443,0.316458
10274.5,0.257417,0.319735
10275,0.240368,0.321372
10275.5,0.235304,0.320084
10276,0.240295,0.3044
10276.5,0.249865,0.285928
10277,0.256349,0.266883
10277.5,0.262659,0.250915
10278,0.266385,0.225638
10278.5,0.272493,0.191087
10279,0.266234,0.175681
10279.5,0.265381,0.165307
10280,0.258254,0.156088
10280.5,0.257948,0.148915
10281,0.263288,0.142607
10281.5,0.268452,0.133798
10282,0.26522,0.127824
10282.5,0.254531,0.128912
10283,0.250257,0.126947
10283.5,0.251357,0.125267
10284,0.266158,0.120485
10284.5,0.274274,0.120855
10285,0.271887,0.119663
10285.5,0.264228,0.120441
10286,0.267501,0.122085
10286.5,0.265296,0.125134
10287,0.266033,0.129922
10287.5,0.268114,0.137336
10288,0.270194,0.148261
10288.5,0.275487,0.160764
10289,0.284735,0.16293
10289.5,0.287273,0.161315
10290,0.29697,0.156064
10290.5,0.307766,0.14958
10291,0.306554,0.159271
10291.5,0.306667,0.197965
10292,0.307273,0.207498
10292.5,0.307273,0.204834
10293,0.304849,0.22862
10293.5,0.301212,0.239194
10294,0.298788,0.248495
10294.5,0.29697,0.254667
10295,0.291515,0.269833
10295.5,0.284808,0.278041
10296,0.28195,0.279308
10296.5,0.276058,0.282253
10297,0.267489,0.283887
10297.5,0.270211,0.273551
10298,0.271681,0.258835
10298.5,0.268932,0.251375
10299,0.272569,0.220479
10299.5,0.284711,0.195456
10300,0.292962,0.177155
10300.5,0.30306,0.165267
10301,0.305996,0.172177
10301.5,0.314504,0.175762
10302,0.322299,0.182876
10302.5,0.326667,0.185042
10303,0.326667,0.188258
10303.5,0.322424,0.191099
10304,0.32303,0.190374
10304.5,0.325455,0.18881
10305,0.328978,0.197018
10305.5,0.323523,0.203756
10306,0.316672,0.217868
10306.5,0.310032,0.221913
10307,0.314199,0.230411
10307.5,0.318069,0.246586
10308,0.319394,0.252607
10308.5,0.320606,0.255111
10309,0.317463,0.258893
10309.5,0.312686,0.260164
10310,0.308723,0.25775
10310.5,0.304625,0.255338
10311,0.307523,0.244089
10311.5,0.30508,0.231997
10312,0.298252,0.234702
10312.5,0.300109,0.229087
10313,0.301046,0.226655
10313.5,0.298767,0.224178
10314,0.292406,0.222393
10314.5,0.28941,0.217838
10315,0.286133,0.219109
10315.5,0.293918,0.219563
10316,0.295134,0.220862
10316.5,0.297204,0.220429
10317,0.303402,0.218115
10317.5,0.307002,0.220992
10318,0.309463,0.223861
10318.5,0.307488,0.227318
10319,0.302476,0.233194
10319.5,0.304779,0.243455
10320,0.3115,0.238935
10320.5,0.307665,0.227998
10321,0.300868,0.216146
10321.5,0.293175,0.20812
10322,0.290584,0.193818
10322.5,0.28882,0.181216
10327.5,0.244004,0.185154
10331,0.267951,0.143229
10331.5,0.281884,0.142836
10332,0.291336,0.151989
10332.5,0.296477,0.168113
10333,0.301242,0.180358
10333.5,0.308978,0.18942
10334,0.312727,0.179567
10334.5,0.314545,0.156202
10335,0.314432,0.147057
10335.5,0.309151,0.124805
10336,0.297102,0.112944
10336.5,0.296863,0.105274
10337,0.296735,0.103967
10337.5,0.299123,0.09902
10338,0.299729,0.100668
10338.5,0.296093,0.105366
10339,0.296456,0.113002
10339.5,0.302917,0.12268
10340,0.302917,0.128387
10340.5,0.299887,0.13973
10341,0.302311,0.146622
10341.5,0.304129,0.152002
10342,0.302557,0.153426
10342.5,0.302557,0.15778
10343,0.295529,0.159063
10343.5,0.291281,0.157987
10344,0.294633,0.146022
10344.5,0.294993,0.142427
10345,0.297146,0.145744
10347.5,0.281269,0.183773
10352,0.273701,0.167732
10352.5,0.275274,0.153814
10353,0.276819,0.141077
10353.5,0.277555,0.127957
10354,0.280841,0.123165
10354.5,0.294928,0.118251
10355,0.29697,0.113326
10355.5,0.295152,0.10908
10356,0.295152,0.111904
10356.5,0.298788,0.111001
10357,0.301212,0.109871
10357.5,0.299394,0.104912
10358,0.300606,0.102333
10358.5,0.301212,0.096985
10359,0.304243,0.092927
10359.5,0.309697,0.090665
10360,0.315151,0.091833
10360.5,0.316364,0.09713
10361,0.315758,0.105821
10361.5,0.312727,0.123761
10362,0.302424,0.140727
10362.5,0.300606,0.146797
10363,0.295758,0.150191
10363.5,0.295758,0.147968
10364,0.292727,0.151507
10364.5,0.288485,0.154328
10365,0.287879,0.154741
10365.5,0.290303,0.153081
10366,0.288485,0.153421
10366.5,0.286667,0.160437
10367,0.290303,0.165016
10367.5,0.296364,0.163658
10368,0.298182,0.165606
10368.5,0.287273,0.173335
10369,0.27697,0.178201
10369.5,0.270303,0.176339
10370,0.264848,0.166693
10370.5,0.26303,0.147298
10371,0.262424,0.135391
10371.5,0.268485,0.131436
10372,0.275151,0.123354
10372.5,0.277576,0.121163
10373,0.284849,0.112467
10373.5,0.286667,0.108367
10374,0.285455,0.103749
10374.5,0.287879,0.09843
10375,0.298788,0.092454
10375.5,0.307273,0.085228
10376,0.312121,0.082308
10376.5,0.308485,0.083202
10377,0.303636,0.090064
10377.5,0.30303,0.094311
10378,0.307879,0.094491
10378.5,0.310303,0.092078
10379,0.310303,0.09522
10379.5,0.304849,0.098651
10380,0.302424,0.101483
10380.5,0.307273,0.097436
10381,0.306443,0.094286
10381.5,0.304019,0.093966
10382,0.30824,0.090244
10382.5,0.31697,0.088264
10383,0.31697,0.088266
10383.5,0.313939,0.095295
10384,0.308372,0.104696
10384.5,0.303444,0.114688
10385,0.302153,0.119519
10385.5,0.297342,0.119559
10386,0.292495,0.108908
10386.5,0.293099,0.10644
10387,0.29892,0.103144
10387.5,0.305033,0.098835
10388,0.312008,0.096171
10388.5,0.305342,0.101451
10389,0.302311,0.102111
10389.5,0.2948,0.103121
10390,0.289829,0.101876
10390.5,0.291648,0.097942
10391,0.289829,0.094318
10391.5,0.292825,0.086217
10392,0.29322,0.082485
10392.5,0.291122,0.080032
10393,0.289427,0.075861
10393.5,0.287838,0.074726
10394,0.29102,0.079034
10394.5,0.294681,0.085588
10395,0.2996,0.090376
10395.5,0.309161,0.097235
10396,0.318583,0.10666
10396.5,0.323166,0.110704
10397,0.312397,0.113222
10397.5,0.312798,0.106976
10398,0.313036,0.098971
10398.5,0.315137,0.096688
10399,0.306525,0.09576
10399.5,0.293095,0.09505
10400,0.287641,0.093227
10400.5,0.279762,0.084616
10401,0.274307,0.075965
10401.5,0.274913,0.07312
10402,0.27855,0.068381
10402.5,0.276126,0.065208
10415,0.278254,0.164391
10415.5,0.276651,0.178147
10421.5,0.303398,0.066617
10422,0.310961,0.073026
10428,0.278334,0.145072
10432,0.20535,0.150643
10432.5,0.204221,0.151788
10433,0.19745,0.154296
10433.5,0.180427,0.161378
10434,0.172031,0.166544
10434.5,0.167608,0.168395
10435,0.174559,0.162407
10435.5,0.184169,0.164262
10436,0.187532,0.178284
10436.5,0.189316,0.198686
10437,0.190888,0.219788
10437.5,0.201162,0.234385
10438,0.205102,0.230144
10438.5,0.19171,0.238882
10439,0.185184,0.236831
10439.5,0.168003,0.246308
10440,0.15629,0.241596
NULL,NULL,NULL
NULL,NULL,NULL
10441.5,0.155544,0.277471
10442,0.168877,0.256877
10442.5,0.179786,0.236002
10443,0.186534,0.220786
10443.5,0.197554,0.204567
10444,0.206642,0.186109
10447.5,0.209059,0.133695
10448,0.211218,0.130837
10448.5,0.218574,0.128445
10449,0.235592,0.112943
10449.5,0.253841,0.100775
10450,0.272062,0.089534
10450.5,0.272912,0.086502
10451,0.270124,0.098403
10451.5,0.268306,0.104803
10452,0.27368,0.110259
10452.5,0.25704,0.109981
10453,0.235828,0.115663
10453.5,0.214616,0.115579
10454,0.191483,0.123329
10454.5,0.171943,0.148726
10455,0.159321,0.161889
10455.5,0.151301,0.165664
10456,0.15296,0.156591
10456.5,0.16467,0.171636
10457,0.173469,0.147088
10457.5,0.172151,0.128485
10460.5,0.160611,0.157927
10461,0.169278,0.151441
10464,0.152135,0.19592
10470.5,0.156093,0.152186
10471,0.157976,0.175195
10471.5,0.166265,0.182671
10472,0.177362,0.181657
10472.5,0.175064,0.187784
10473,0.17512,0.170041
10499.5,0.183132,0.262803
10502.5,0.187582,0.271511
10503,0.209344,0.244447
10503.5,0.205102,0.228753
10504,0.197829,0.255385
10504.5,0.198108,0.26407
10505,0.200174,0.268615
10505.5,0.201797,0.274999
10506,0.202351,0.265126
10506.5,0.206051,0.25683
10507,0.204827,0.261412
10507.5,0.224378,0.244756
10508,0.237448,0.230968
10508.5,0.24543,0.212218
10509,0.245433,0.195478
10509.5,0.244972,0.175935
10510,0.244211,0.167786
10510.5,0.250749,0.153337
10513.5,0.245423,0.128086
10514,0.253302,0.127675
10514.5,0.255726,0.129424
10515,0.257223,0.136536
10515.5,0.263763,0.141069
10516,0.269676,0.134948
10516.5,0.265359,0.129977
10517,0.260533,0.128931
10517.5,0.260661,0.126523
10518,0.261889,0.12538
10518.5,0.261934,0.130991
10519,0.269226,0.132117
10519.5,0.265882,0.133507
10520,0.257502,0.132501
10520.5,0.253726,0.126949
10521,0.255736,0.123777
10521.5,0.259872,0.12147
10522,0.260676,0.11684
10528,0.278435,0.096732
10528.5,0.295736,0.098178
10529,0.290038,0.103025
10529.5,0.279786,0.113963
10531.5,0.234275,0.121776
10532,0.22276,0.12373
10532.5,0.216938,0.126273
10533,0.220083,0.134759
10533.5,0.233312,0.13026
10534,0.249843,0.120269
10534.5,0.264169,0.111055
10535,0.265705,0.112939
10535.5,0.26055,0.113572
