Depth,Porosity,Saturation 
10381.27,0.276364,0.126997
10381.72,0.276364,0.13114
10382.17,0.261818,0.144228
10382.62,0.264242,0.149131
10383.06,0.261818,0.157006
10383.51,0.261818,0.16313
10383.96,0.266667,0.163998
10384.41,0.261818,0.172189
10384.86,0.25697,0.182647
10385.3,0.261818,0.187053
10385.75,0.261818,0.195932
10386.2,0.25697,0.209393
10386.65,0.246241,0.21792
10387.09,0.224659,0.223882
10387.54,0.199116,0.238169
10387.99,0.182742,0.244083
10388.44,0.169224,0.241399
10388.88,0.152651,0.259266
10395.59,0.170323,0.348784
10396.04,0.199769,0.335015
10396.49,0.212856,0.310878
10396.93,0.206101,0.28327
10397.38,0.21936,0.252858
10397.83,0.244082,0.231231
10398.27,0.258182,0.206607
10398.72,0.267273,0.185697
10399.17,0.278788,0.164438
10399.61,0.27394,0.155232
10400.06,0.266667,0.147519
10400.51,0.275151,0.134071
10400.95,0.28303,0.123512
10401.4,0.287879,0.116851
10401.85,0.269091,0.120827
10402.29,0.276364,0.116774
10402.74,0.261818,0.12164
10403.18,0.261818,0.12346
10403.63,0.269091,0.12502
10404.08,0.266751,0.127644
10404.52,0.234418,0.131327
10404.97,0.218986,0.137558
10405.42,0.223174,0.14129
10405.86,0.223476,0.14643
10406.31,0.239998,0.150429
10406.75,0.27322,0.154505
10407.2,0.269091,0.164743
10407.64,0.266667,0.175974
10408.09,0.270909,0.18407
10408.54,0.267385,0.198377
10408.98,0.236977,0.22685
10409.43,0.206853,0.252634
10456.06,0.162278,0.606639
10460.09,0.152754,0.595538
10460.53,0.206399,0.591185
10464.11,0.174578,0.652516
10465.89,0.247273,0.654477
10466.34,0.245062,0.613567
10466.79,0.236185,0.533768
10467.23,0.236035,0.494127
10467.68,0.189499,0.491742
10468.13,0.186127,0.489672
10468.57,0.22422,0.474449
10469.02,0.245455,0.504381
10469.46,0.240606,0.510131
10469.91,0.247273,0.488573
10470.36,0.264242,0.443185
10470.8,0.254356,0.489988
10471.25,0.264563,0.481978
10471.7,0.278964,0.468397
10472.14,0.281212,0.494145
10472.59,0.270303,0.478963
10473.03,0.246292,0.419575
10473.48,0.243973,0.394945
10473.93,0.254545,0.371016
10474.37,0.26303,0.327027
10474.82,0.268485,0.304187
10475.26,0.254478,0.299805
10475.71,0.245745,0.275218
10476.16,0.266205,0.274083
10476.6,0.275998,0.288308
10477.05,0.287238,0.294468
10477.49,0.285455,0.321281
10477.94,0.290303,0.315104
10478.39,0.272919,0.330829
10478.83,0.255676,0.354106
10479.28,0.245921,0.34288
10479.72,0.241177,0.320783
10480.17,0.225864,0.304041
10480.61,0.208597,0.308783
10481.06,0.19823,0.299455
10481.51,0.206668,0.2773
10481.95,0.234757,0.246633
10482.4,0.242177,0.236948
10482.84,0.241147,0.242618
10483.29,0.260131,0.254995
10483.73,0.25189,0.259814
10484.18,0.23644,0.255963
10484.62,0.246718,0.242228
10485.07,0.224454,0.232445
10485.51,0.208026,0.241322
10485.96,0.216595,0.249337
10486.41,0.198054,0.273747
10486.85,0.186493,0.275469
10487.3,0.183799,0.280201
10491.3,0.188607,0.265519
10491.75,0.226571,0.258074
10492.19,0.241156,0.252024
10492.64,0.244237,0.231544
10493.08,0.205147,0.230332
10493.53,0.218574,0.211489
10493.97,0.242081,0.193824
10494.42,0.270456,0.182585
10494.86,0.280763,0.182269
10495.31,0.286145,0.178512
10495.75,0.290998,0.16935
10496.2,0.284248,0.169787
10496.64,0.292727,0.169246
10497.09,0.297576,0.164034
10497.53,0.287879,0.173003
10497.98,0.290303,0.173957
10498.42,0.292727,0.174474
10498.86,0.291317,0.173386
10499.31,0.289709,0.170358
10499.75,0.2679,0.171461
10501.53,0.212777,0.200863
10501.98,0.244485,0.204369
10502.42,0.231336,0.209372
10502.86,0.207456,0.217895
10503.31,0.198012,0.220617
10503.75,0.223858,0.217137
10506.86,0.21996,0.21031
10507.31,0.244558,0.212118
10507.75,0.231134,0.23559
10508.19,0.203767,0.248882
10508.64,0.184304,0.253741
10509.08,0.187154,0.257495
10509.53,0.213122,0.261635
10513.52,0.215423,0.215673
10513.96,0.210876,0.22565
10517.51,0.192463,0.312933
10517.95,0.205,0.316557
10518.4,0.185739,0.331714
10521.5,0.164188,0.407003
10521.94,0.19325,0.421204
10522.38,0.195132,0.434033
10522.83,0.199331,0.435121
10523.27,0.222158,0.423362
10523.71,0.230959,0.43588
10524.16,0.233526,0.42796
10524.6,0.255479,0.406738
10525.04,0.284414,0.394058
10525.48,0.278438,0.40111
10525.93,0.280114,0.407853
10526.37,0.278788,0.411767
10526.81,0.276364,0.417798
10527.25,0.281212,0.442345
10527.7,0.275404,0.410182
10528.14,0.274879,0.40559
10528.58,0.265455,0.421041
10529.02,0.259394,0.409235
10529.47,0.266667,0.391701
10529.91,0.25697,0.400323
10530.35,0.258651,0.392377
10530.79,0.247655,0.390629
10531.24,0.250153,0.385274
10531.68,0.251497,0.376633
10532.12,0.260105,0.357652
10532.56,0.268908,0.335683
10533,0.281196,0.315741
10533.45,0.26079,0.310462
10533.89,0.249343,0.281744
10534.33,0.229763,0.271314
10534.77,0.215148,0.26996
