Depth,Porosity,Saturation 
10238.54,0.329697,0.364258
10238.99,0.334545,0.374953
10239.43,0.334545,0.367067
10239.88,0.322424,0.373544
10240.32,0.30303,0.417886
10240.77,0.290909,0.412513
10241.21,0.300606,0.380149
10241.66,0.313939,0.354689
10242.1,0.322424,0.345867
10242.55,0.330303,0.361463
10243,0.327273,0.38049
10243.44,0.303636,0.360698
10243.89,0.290909,0.316387
10244.33,0.297576,0.299583
10244.78,0.296364,0.306987
10245.22,0.289697,0.32097
10245.67,0.275758,0.320427
10246.12,0.261212,0.314988
10246.56,0.217009,0.410019
10247.01,0.184083,0.525154
10247.45,0.196723,0.493465
10247.9,0.221489,0.460854
10248.34,0.253329,0.405136
10248.79,0.262283,0.357679
10249.24,0.276741,0.342149
10249.68,0.284849,0.333609
10250.13,0.281212,0.337726
10250.57,0.281212,0.331156
10251.02,0.283637,0.32769
10251.46,0.288485,0.327425
10251.91,0.272098,0.352019
10252.36,0.259835,0.366067
10252.8,0.258605,0.371618
10253.25,0.250352,0.3815
10253.69,0.254005,0.387988
10254.14,0.259634,0.403015
10254.58,0.254958,0.385099
10255.03,0.241004,0.379541
10255.48,0.231591,0.399825
10255.92,0.234227,0.392361
10256.37,0.236087,0.395446
10256.82,0.241087,0.397526
10257.26,0.234516,0.41567
10257.71,0.242478,0.410915
10258.15,0.247143,0.399105
10258.6,0.247018,0.360931
10259.04,0.246306,0.36904
10259.49,0.242455,0.375643
10259.94,0.241485,0.366638
10260.38,0.239787,0.351373
10260.83,0.235713,0.351914
10261.28,0.239432,0.344188
10261.72,0.242472,0.339393
10262.17,0.237788,0.360515
10262.61,0.235991,0.373062
10263.06,0.217443,0.454365
10263.51,0.211387,0.455333
10263.95,0.2075,0.44585
10264.4,0.180824,0.506614
10266.18,0.156688,0.589986
10266.63,0.168196,0.626842
10267.08,0.163566,0.660019
10267.52,0.167044,0.644009
10267.97,0.197418,0.521539
10268.42,0.201098,0.410515
10268.86,0.1988,0.455091
10269.31,0.213402,0.446333
10269.75,0.212878,0.440595
10270.2,0.218576,0.405841
10270.65,0.237027,0.424322
10271.09,0.262472,0.394683
10271.54,0.271169,0.36103
10271.99,0.270278,0.364277
10272.43,0.266684,0.36138
10272.88,0.266681,0.355077
10273.33,0.263734,0.336402
10273.77,0.271106,0.310768
10274.22,0.261138,0.312347
10274.67,0.245038,0.356522
10275.11,0.253956,0.396116
10275.56,0.243231,0.435363
10276.01,0.249198,0.407505
10276.45,0.246453,0.421897
10276.9,0.248558,0.405219
10277.35,0.229916,0.419128
10277.79,0.226562,0.394769
10278.24,0.207385,0.459774
10278.69,0.213637,0.495094
10279.13,0.224335,0.421477
10279.58,0.213,0.425496
10280.03,0.208229,0.502641
10280.47,0.214218,0.504939
10280.92,0.218985,0.47244
10281.37,0.225792,0.5151
10281.81,0.221725,0.538214
10282.26,0.21804,0.478432
10282.71,0.208651,0.408391
10283.15,0.203619,0.399192
10283.6,0.195298,0.425808
10284.05,0.186553,0.4631
10285.83,0.154925,0.457963
10291.2,0.163458,0.486345
10291.65,0.170131,0.446958
10304.17,0.191664,0.315061
10308.2,0.177472,0.284156
10308.65,0.174594,0.308994
10309.09,0.185205,0.324082
10309.54,0.175985,0.352861
10309.99,0.178401,0.334507
10310.44,0.18141,0.308761
10310.88,0.165797,0.334751
10311.33,0.177199,0.320851
10311.78,0.190695,0.316202
10312.23,0.200412,0.322136
10312.68,0.21892,0.315271
10313.12,0.224436,0.315393
10313.57,0.22857,0.317709
10314.02,0.224191,0.312143
10314.47,0.213266,0.319505
10314.92,0.211911,0.297696
10315.36,0.209412,0.287714
10315.81,0.191346,0.286361
10316.26,0.175485,0.283056
10316.71,0.160552,0.292319
10317.15,0.161587,0.296776
10317.6,0.200001,0.256368
10318.05,0.20427,0.264095
10318.5,0.207606,0.257306
10318.95,0.212919,0.242082
10319.39,0.206822,0.240917
