Depth,Porosity,Saturation 
10033.36,0.237576,0.530641
10033.84,0.244243,0.541096
10034.32,0.238182,0.580407
10034.8,0.233939,0.591874
10035.28,0.234545,0.58098
10035.75,0.240606,0.556593
10036.23,0.247273,0.52658
10036.71,0.252727,0.492872
10037.19,0.247273,0.483461
10037.67,0.247273,0.466667
10038.14,0.256364,0.433697
10038.62,0.247879,0.429707
10039.1,0.226061,0.463795
10039.58,0.210303,0.51354
10040.06,0.192121,0.591258
10044.36,0.165455,0.584055
10044.83,0.204848,0.444982
10045.31,0.218788,0.458247
10045.79,0.225455,0.52018
10046.27,0.226667,0.580667
10046.75,0.218182,0.642701
10048.18,0.226667,0.636563
10048.66,0.230909,0.633308
10049.13,0.229091,0.640573
10049.61,0.238182,0.603957
10050.09,0.233333,0.596061
10050.57,0.232727,0.576314
10051.04,0.233333,0.558203
10051.52,0.22,0.609474
10052,0.19697,0.664288
10052.48,0.177576,0.679459
10052.96,0.161818,0.695511
10053.43,0.16303,0.649568
10053.91,0.174545,0.57937
10054.39,0.198182,0.530339
10054.87,0.217576,0.552059
10055.34,0.226667,0.534564
10055.82,0.23697,0.510386
10056.3,0.247273,0.4906
10056.78,0.258788,0.487557
10057.25,0.257576,0.506864
10057.73,0.261818,0.4884
10058.21,0.26303,0.475652
10058.69,0.26303,0.467628
10059.16,0.259394,0.470855
10059.64,0.261212,0.505807
10060.12,0.249091,0.54388
10060.6,0.22835,0.536204
10061.07,0.218574,0.557141
10061.55,0.216879,0.574388
10062.03,0.217485,0.580723
10062.51,0.206531,0.617519
10062.98,0.200977,0.667296
10063.46,0.21232,0.639655
10063.94,0.226865,0.594073
10064.42,0.23232,0.57823
10064.89,0.237774,0.567174
10065.37,0.247744,0.551762
10065.85,0.251154,0.536353
10066.33,0.237576,0.555473
10066.8,0.226667,0.58792
10067.28,0.214546,0.626162
10070.14,0.191108,0.669993
10070.62,0.219372,0.639977
10071.1,0.233242,0.574512
10071.58,0.232636,0.595901
10072.05,0.218091,0.641809
10072.53,0.207743,0.687492
10073.01,0.197197,0.689751
10073.48,0.193006,0.630894
10073.96,0.184441,0.65819
10076.35,0.160024,0.691604
10076.83,0.16555,0.634
10077.3,0.161261,0.595121
10081.12,0.158052,0.456366
10081.6,0.162252,0.428731
10082.07,0.171743,0.392913
10082.55,0.175129,0.36608
10083.03,0.187101,0.344901
10083.5,0.187749,0.345699
