Depth,Porosity,Saturation 
10127.37,0.170082,0.316364
10139.68,0.187515,0.214427
10140.13,0.185854,0.21743
10140.59,0.197763,0.213469
10141.96,0.186026,0.207637
10142.42,0.187578,0.209524
10146.98,0.196684,0.207117
10147.43,0.224159,0.211767
10147.89,0.242153,0.204446
10148.34,0.249036,0.203185
10148.8,0.24226,0.206607
10149.26,0.234139,0.211886
10149.71,0.238788,0.214697
10150.17,0.244968,0.202776
10150.62,0.258127,0.197736
10151.08,0.237107,0.203376
10151.54,0.215401,0.205094
10151.99,0.227667,0.211831
10152.45,0.213413,0.219537
10152.9,0.204627,0.220453
10161.11,0.206366,0.209389
10161.57,0.226769,0.204491
10171.61,0.229476,0.205397
10172.06,0.252515,0.203251
10172.52,0.247144,0.204391
10172.97,0.228199,0.203622
10173.43,0.227693,0.199689
10173.89,0.248862,0.196734
10174.34,0.255561,0.195365
10174.8,0.24764,0.19112
10181.18,0.177541,0.225438
10181.64,0.21556,0.219082
10182.09,0.22379,0.218816
10182.55,0.22473,0.221022
10183.01,0.228035,0.227128
10183.46,0.23308,0.222352
10183.92,0.242504,0.20575
10184.37,0.267792,0.195354
10184.83,0.268688,0.202993
10185.28,0.262816,0.212789
10185.74,0.269697,0.21266
10186.2,0.261818,0.218448
10186.65,0.261212,0.220185
10187.11,0.253333,0.225765
10187.56,0.243301,0.228966
10188.02,0.259394,0.217418
10188.47,0.26,0.215696
10188.93,0.237123,0.20727
10189.39,0.205269,0.209735
10190.75,0.210668,0.19518
10191.21,0.222138,0.191916
10191.66,0.257314,0.19075
10192.12,0.244424,0.193864
10192.58,0.24008,0.195718
10193.03,0.250485,0.193905
10193.49,0.233711,0.199157
10193.94,0.249882,0.197989
10203.05,0.21739,0.215061
10203.51,0.232629,0.202237
10203.96,0.227593,0.202925
10204.42,0.255064,0.203819
10204.87,0.244424,0.206782
10205.33,0.241404,0.213772
10205.78,0.225855,0.205339
10206.24,0.231097,0.207204
10213.06,0.223801,0.212369
10213.52,0.225855,0.217799
10213.97,0.248209,0.214235
10214.43,0.25473,0.212261
10214.88,0.255115,0.208372
10215.34,0.265807,0.21163
10215.79,0.251707,0.211918
10216.25,0.248862,0.211616
10216.7,0.252881,0.215257
10217.16,0.236613,0.219159
10217.61,0.235472,0.214621
10221.25,0.24462,0.219665
10221.71,0.267305,0.22674
10222.16,0.273278,0.227378
10222.62,0.266006,0.233551
10223.07,0.254524,0.247274
10223.53,0.263636,0.239316
10223.98,0.263836,0.234068
10224.43,0.255889,0.228366
10224.89,0.24473,0.238172
10225.34,0.244061,0.240213
10225.8,0.22799,0.246211
10226.25,0.233718,0.248181
10232.16,0.245169,0.217066
10232.62,0.267131,0.22196
10233.07,0.27044,0.226506
10265.31,0.236764,0.267454
10265.76,0.276451,0.266163
10266.21,0.291515,0.267842
10266.67,0.281614,0.268084
10267.12,0.245257,0.285188
10298.38,0.23131,0.469158
10298.83,0.248962,0.490634
10299.28,0.253071,0.519371
10299.73,0.230588,0.571437
10300.19,0.203747,0.595094
10307.88,0.168905,0.651607
10346.72,0.150216,0.613017
10347.17,0.153058,0.56478
10347.62,0.164427,0.548202
10348.07,0.189228,0.507839
10348.52,0.198925,0.492127
10348.97,0.202777,0.489467
10349.42,0.203549,0.492382
10349.87,0.224362,0.486448
10350.33,0.233312,0.489546
10350.78,0.22832,0.504585
10351.23,0.230695,0.507954
10443.91,0.191159,0.688847
10444.36,0.193718,0.663169
10453.34,0.226849,0.518279
10453.79,0.23955,0.509702
10454.24,0.246198,0.486758
10454.69,0.252865,0.469512
10455.13,0.243774,0.485739
10455.58,0.242826,0.505214
10456.03,0.224195,0.535845
10456.48,0.215033,0.538631
10456.93,0.224155,0.538013
10457.38,0.228402,0.539351
10457.83,0.221735,0.55915
10458.28,0.235675,0.568964
10458.72,0.234139,0.560066
10459.17,0.24081,0.541788
10459.62,0.250303,0.547559
10460.07,0.239394,0.580522
10460.52,0.230909,0.6036
10460.97,0.231433,0.602496
10461.42,0.224684,0.623755
10461.86,0.207107,0.664275
10465.9,0.201411,0.691388
10466.35,0.212121,0.671873
10466.8,0.191047,0.672087
10467.25,0.194947,0.678027
10467.7,0.205289,0.658798
10468.14,0.2025,0.666163
10469.94,0.214546,0.69291
10470.39,0.218127,0.677554
10470.83,0.216309,0.6832
10471.28,0.21579,0.661064
10471.73,0.184751,0.639669
10472.18,0.169256,0.629443
10472.63,0.192064,0.618973
10473.08,0.189889,0.63559
10473.53,0.211455,0.632017
10473.97,0.216241,0.637019
10474.42,0.22,0.629992
10474.87,0.221212,0.616006
10475.32,0.221818,0.604126
10475.77,0.229091,0.576772
10476.22,0.238182,0.550106
10476.66,0.253333,0.511488
10477.11,0.248485,0.518545
10477.56,0.252727,0.512715
10478.01,0.251515,0.513735
10478.46,0.252727,0.514089
10478.91,0.249697,0.52626
10479.35,0.249697,0.529174
10479.8,0.255151,0.520761
10480.25,0.257576,0.517314
10480.7,0.253939,0.527709
10481.15,0.259394,0.521007
10481.59,0.26303,0.518069
10482.04,0.258182,0.533764
10482.49,0.259394,0.538787
10482.94,0.258788,0.546169
10483.39,0.251515,0.568261
10483.84,0.238182,0.606835
10484.28,0.232727,0.633431
10484.73,0.223636,0.662828
10485.18,0.220877,0.657626
10485.63,0.229091,0.658094
10486.08,0.221212,0.689194
10486.52,0.229091,0.671058
10486.97,0.234015,0.63697
10487.42,0.223581,0.695386
10508.47,0.183162,0.592785
10508.92,0.204848,0.566982
10509.37,0.225455,0.487032
10509.81,0.235758,0.433002
10510.26,0.253333,0.375684
10510.71,0.279394,0.318479
10511.16,0.293333,0.287591
10511.6,0.290303,0.280193
10512.05,0.291515,0.275139
10512.5,0.279394,0.286268
10512.95,0.261818,0.305485
10513.39,0.267879,0.301106
10513.84,0.27697,0.287965
10514.29,0.284243,0.278256
10514.74,0.287273,0.274551
10515.18,0.285455,0.274753
10515.63,0.288485,0.271867
10516.08,0.29697,0.264832
10516.53,0.292727,0.27019
10516.97,0.294546,0.270027
10517.42,0.296364,0.26912
10517.87,0.3,0.269622
10518.32,0.292727,0.277085
10518.76,0.291515,0.279028
10519.21,0.299394,0.271685
10519.66,0.292727,0.277873
10520.11,0.28303,0.287393
10520.55,0.285455,0.285749
10521,0.292121,0.280805
10521.45,0.301212,0.273851
10521.9,0.297576,0.277197
10522.34,0.290909,0.285151
10522.79,0.289697,0.287158
10523.24,0.304849,0.272886
10523.69,0.306061,0.271034
10524.13,0.295758,0.279685
10524.58,0.295758,0.279685
10525.03,0.298182,0.278987
10525.47,0.284849,0.295333
