X,Y
9555.495145631066, 2194.461538461538
8689.961165048542, 2365.903846153846
8482.233009708738, 2434.480769230769
8170.640776699029, 2640.2115384615386
7651.320388349513, 2983.096153846154
6785.786407766989, 3360.269230769231
6162.601941747574, 3600.288461538461
5643.281553398058, 3806.0192307692305
5123.961165048543, 4011.75
4881.611650485436, 4148.903846153846
4708.504854368933, 4320.346153846153
4604.64077669903, 4526.076923076924
4604.64077669903, 4731.807692307692
4604.64077669903, 4971.826923076923
4673.883495145631, 5349
4846.990291262136, 5657.596153846154
5089.339805825243, 5966.192307692308
5193.203883495146, 6206.211538461539
5227.825242718446, 6446.2307692307695
5227.825242718446, 6686.25
5262.446601941747, 6960.557692307693
5331.68932038835, 7166.288461538462
5574.038834951457, 7406.307692307692
5851.009708737864, 7612.038461538462
6127.980582524272, 8057.788461538463
6266.466019417476, 8537.826923076924
6404.95145631068, 8777.846153846156
6681.922330097086, 9086.442307692309
6993.514563106797, 9566.480769230771
7201.242718446601, 9909.365384615387
7339.728155339806, 10320.826923076924
7512.834951456311, 10629.423076923078
7685.941747572815, 11006.596153846156
8066.776699029126, 11383.76923076923
8274.504854368932, 11623.788461538463
8412.990291262136, 11863.807692307693
8551.47572815534, 12103.826923076926
8655.339805825242, 12412.423076923078
8828.446601941747, 12995.326923076926
8932.31067961165, 13681.096153846156
9001.553398058253, 14264.000000000002
9036.174757281553, 14572.596153846154
9070.796116504853, 15018.346153846156
9451.631067961165, 15669.826923076926
9832.466019417476, 16252.730769230771
17656.893203883497, 16869.923076923078
17656.893203883497, 16561.326923076922
17726.135922330097, 15978.42307692308
17795.378640776697, 15258.365384615385
17830, 14641.173076923078
17864.621359223303, 13852.538461538465
17899.2427184466, 13132.48076923077
17968.485436893206, 12652.442307692309
18106.970873786406, 12172.403846153846
18314.699029126212, 11726.653846153848
18660.912621359224, 11212.326923076924
19007.12621359223, 10766.576923076924
19318.71844660194, 10355.115384615385
19491.82524271845, 10046.519230769232
19699.553398058255, 9463.615384615387
19941.902912621357, 8812.134615384615
20184.252427184467, 8229.23076923077
20495.844660194176, 7646.326923076924
20980.543689320388, 7132
21465.2427184466, 6720.538461538462
22226.912621359224, 6069.057692307692
22746.23300970874, 5623.307692307692
23196.310679611648, 5177.557692307692
23577.145631067964, 4560.365384615385
23854.11650485437, 4011.75
23992.60194174757, 3600.288461538461
22711.611650485436, -377.1730769230776
22296.155339805824, -137.1538461538468
21949.94174757282, 34.28846153846098
21707.59223300971, 171.44230769230705
21361.378640776697, 377.17307692307645
20738.19417475728, 720.0576923076919
20253.495145631066, 960.0769230769226
19838.038834951454, 1165.807692307692
19041.747572815533, 1440.1153846153843
18106.970873786406, 1714.4230769230767
17241.436893203885, 2023.0192307692305
16687.495145631066, 2125.8846153846152
16168.174757281553, 1954.4423076923076
15441.126213592232, 1817.288461538461
15025.669902912623, 1817.288461538461
14540.970873786408, 1782.9999999999995
13710.058252427183, 1954.4423076923076
13086.873786407767, 2023.0192307692305
12636.796116504853, 2091.596153846154
11840.504854368932, 2228.7499999999995
11286.563106796115, 2297.326923076923
