X,Y
9832.466019417476, 13543.94230769231
9624.73786407767, 13303.923076923078
9486.252427184467, 12995.326923076926
9451.631067961165, 12652.442307692309
9347.766990291262, 12378.134615384619
9243.902912621359, 12069.538461538463
9036.174757281553, 11726.653846153848
8863.067961165048, 11486.634615384617
8689.961165048542, 11212.326923076924
8447.611650485438, 10869.442307692309
7962.912621359224, 10217.961538461539
7651.320388349513, 9669.346153846154
7374.349514563108, 9189.307692307693
7270.485436893203, 8915
7201.242718446601, 8812.134615384615
7062.757281553399, 8572.115384615385
6924.271844660194, 8297.807692307693
6612.679611650485, 7577.750000000001
6404.95145631068, 7063.423076923077
6266.466019417476, 6617.673076923078
6162.601941747574, 6171.923076923078
5954.873786407767, 5383.288461538462
5954.873786407767, 4868.961538461539
11944.368932038835, 8983.576923076924
19526.446601941745, 3463.1346153846157
20391.980582524273, 3223.1153846153848
19457.203883495145, 4320.346153846153
19284.097087378635, 5143.2692307692305
19180.23300970874, 5760.461538461539
19007.12621359223, 6377.653846153847
18799.398058252424, 6960.557692307693
18660.912621359224, 7714.903846153846
18557.04854368932, 8812.134615384615
18141.59223300971, 9806.500000000002
17587.65048543689, 10835.153846153848
17310.679611650485, 11555.211538461539
17102.95145631068, 12412.423076923078
17033.70873786408, 13406.788461538463
16895.223300970873, 14812.615384615387
16652.873786407763, 15566.96153846154
16375.902912621359, 16355.596153846158
15510.368932038835, 16904.21153846154
14540.970873786408, 16904.21153846154
13467.708737864077, 16835.634615384617
12255.961165048542, 16595.615384615383
11805.883495145632, 16149.865384615388
11459.669902912621, 15772.69230769231
10697.999999999998, 15326.942307692309
10247.922330097086, 14675.461538461539
9867.087378640777, 13543.94230769231
