X,Y
6751.165048543689,5520.442307692308
6993.514563106797,5211.846153846154
7616.699029126214,5006.115384615385
8620.71844660194,4971.826923076923
9278.52427184466,4971.826923076923
10178.679611650485,4971.826923076923
11148.077669902912,4903.25
12532.93203883495,4697.519230769231
13398.466019417476,4594.653846153847
14437.106796116504,4423.211538461539
15233.398058252425,4423.211538461539
15995.06796116505,4491.788461538461
16756.737864077673,4628.942307692308
16999.087378640776,5074.6923076923085
