X,Y
11459.669902912621, 7372.0192307692305
11044.213592233009, 7406.307692307692
10178.679611650485, 7234.865384615386
9174.660194174756, 7097.711538461539
8620.71844660194, 6994.846153846155
8551.47572815534, 7372.0192307692305
9036.174757281553, 8503.538461538463
9451.631067961165, 9155.01923076923
9797.844660194174, 9703.634615384617
10247.922330097086, 9120.730769230771
10559.514563106795, 9120.730769230771
10974.970873786408, 9463.615384615387
11286.563106796115, 10115.096153846154
11494.291262135923, 10663.71153846154
11494.291262135923, 11178.038461538463
11494.291262135923, 11555.211538461539
11875.126213592232, 12103.826923076926
12325.203883495145, 12515.288461538463
12809.902912621359, 12789.596153846156
13052.252427184465, 12961.038461538465
13259.980582524273, 12446.711538461539
13121.495145631066, 11555.211538461539
13190.73786407767, 11109.46153846154
13398.466019417476, 10629.423076923078
13398.466019417476, 9326.461538461539
13536.951456310679, 8709.269230769232
13848.54368932039, 7783.4807692307695
13917.78640776699, 7474.884615384617
13710.058252427183, 6651.961538461538
13329.223300970873, 6446.2307692307695
12775.28155339806, 6891.9807692307695
12152.09708737864, 7132
11459.669902912621, 7406.307692307692
