X,Y
10732.621359223302, 5589.019230769231
10213.300970873786, 5623.307692307692
9382.388349514564, 5554.7307692307695
8586.097087378641, 5451.865384615385
8136.019417475727, 5383.288461538462
7720.563106796117, 5383.288461538462
7339.728155339806, 5520.442307692308
7062.757281553399, 5863.326923076923
7062.757281553399, 6343.365384615385
7339.728155339806, 7029.134615384615
7547.456310679612, 7440.596153846155
7720.563106796117, 7817.769230769232
7962.912621359224, 8297.807692307693
8274.504854368932, 8915
8551.47572815534, 9429.326923076924
9001.553398058253, 10183.673076923078
9451.631067961165, 10732.288461538463
9797.844660194174, 11178.038461538463
10074.815533980582, 11692.365384615387
10213.300970873786, 12103.826923076926
10594.135922330095, 12755.307692307693
11078.834951456309, 13338.211538461539
11182.699029126212, 13646.807692307695
11425.048543689321, 13783.961538461539
12255.961165048542, 14332.576923076926
12844.524271844659, 15018.346153846156
13294.601941747573, 14915.480769230771
13744.679611650487, 15086.92307692308
14437.106796116504, 14435.44230769231
14748.699029126214, 14229.71153846154
14921.80582524272, 13715.384615384615
14887.184466019417, 13372.500000000002
14714.077669902914, 12583.865384615387
14887.184466019417, 11726.653846153848
14887.184466019417, 11383.76923076923
14783.320388349513, 10869.442307692309
14852.563106796117, 10286.538461538463
15094.912621359223, 9635.057692307693
15302.640776699029, 9189.307692307693
16064.31067961165, 8229.23076923077
16341.281553398056, 7783.4807692307695
16272.038834951456, 5897.615384615386
16202.796116504853, 5554.7307692307695
16064.31067961165, 5417.576923076924
15787.339805825244, 5383.288461538462
14817.941747572817, 5006.115384615385
14506.349514563104, 4971.826923076923
13848.54368932039, 5040.403846153847
13156.11650485437, 5177.557692307692
12325.203883495145, 5349
11667.398058252425, 5486.153846153847
11182.699029126212, 5554.7307692307695
10767.242718446601, 5589.019230769231
