X,Y
10109.436893203883, 6069.057692307692
9243.902912621359, 5863.326923076923
8586.097087378641, 5760.461538461539
7997.533980582524, 5691.884615384616
7651.320388349513, 5726.173076923077
7339.728155339806, 6000.4807692307695
7339.728155339806, 6514.807692307693
7685.941747572815, 7166.288461538462
8136.019417475727, 8194.942307692309
8412.990291262136, 8846.423076923078
8655.339805825242, 9292.173076923078
9105.417475728154, 10012.23076923077
9278.52427184466, 10149.384615384617
9555.495145631066, 10560.846153846154
10109.436893203883, 11246.615384615387
10282.543689320388, 11658.076923076924
10317.16504854369, 11898.096153846156
10836.485436893205, 12618.153846153848
11182.699029126212, 13132.48076923077
11251.941747572815, 13406.788461538463
11598.155339805826, 13578.230769230771
12255.961165048542, 13955.403846153848
12567.553398058253, 14264.000000000002
12740.660194174756, 14504.019230769234
13813.922330097086, 14606.884615384619
14229.3786407767, 14195.423076923078
14056.271844660194, 13406.788461538463
14229.3786407767, 12755.307692307693
14194.757281553397, 12069.538461538463
14160.135922330097, 11589.500000000002
14264, 10869.442307692309
14402.485436893201, 10286.538461538463
14540.970873786408, 9497.903846153846
14748.699029126214, 8640.692307692309
14817.941747572817, 8434.961538461539
15129.533980582522, 7989.211538461539
15648.854368932038, 6651.961538461538
15510.368932038835, 5829.038461538461
15302.640776699029, 5623.307692307692
14748.699029126214, 5383.288461538462
14056.271844660194, 5246.134615384616
13156.11650485437, 5486.153846153847
12429.067961165048, 5726.173076923077
11702.019417475729, 5966.192307692308
