,Depth,Air Permeability,Corrected Perm,porosity,Klinkenberg Perm
136,10384.2,1300.0,1160.6400077627122,28.615,1160.0353580041804
137,10385.0,680.0,607.0980980193376,26.481,606.6900071820296
138,10386.2,1100.0,982.056123553936,32.300999999999995,981.4741965058516
140,10387.2,970.0,865.9844169628029,28.517999999999997,865.4709898698476
141,10388.3,1300.0,1160.5821529827506,28.906,1159.9747805028148
142,10389.3,1300.0,1160.568046354189,29.391,1159.9561460376615
143,10390.2,1000.0,892.7348860208458,29.197,892.2072262137074
144,10391.5,910.0,812.3759123852747,28.13,811.8833444285233
146,10392.3,700.0,624.8984735332647,28.227,624.4718073853354
147,10392.9,460.0,410.64457473294266,26.966,410.31319481979097
148,10393.9,110.0,98.19642271373617,22.988999999999997,98.05663636728917
149,10394.9,620.0,553.4640229184315,27.257,553.0712569337807
150,10395.7,650.0,580.2389018758139,27.839,579.8319106216314
152,10396.7,650.0,580.2318547806375,27.742,579.8255003099896
153,10397.5,690.0,615.9324464908723,27.257,615.5157387058443
154,10398.4,680.0,606.999255566916,27.742,606.5826332815368
155,10399.4,750.0,669.4763444020525,27.936,669.035144164079
156,10400.4,990.0,883.6980460702953,29.391,883.1717935132905
158,10401.2,930.0,830.1325269356059,28.032999999999998,829.6347996960347
159,10402.8,880.0,785.4864913615468,28.615,784.9993054505634
160,10403.7,1600.0,1428.141658090305,26.092999999999996,1427.4908815912286
161,10404.7,1100.0,981.8354754335095,28.227,981.2876310699769
162,10405.5,140.0,124.95966570826772,25.705,124.7917610640077
164,10422.2,1100.0,981.6272005400737,24.056,981.1171858607269
165,10423.4,850.0,758.519085878814,24.25,758.0752846452402
166,10424.4,1100.0,981.6010479879376,25.413999999999998,981.0783733303771
167,10424.8,1600.0,1427.7764272154564,26.481,1427.1214374179337
170,10426.6,1200.0,1070.8089842719478,25.413999999999998,1070.260541976974
171,10427.8,350.0,312.31475030234714,24.056,312.0441083874217
172,10428.7,3200.0,2855.4180401595895,26.384,2854.4585650725257
173,10429.8,120.0,107.07675100767565,21.146,106.93547119605492
174,10430.2,140.0,124.92227147242471,19.884999999999998,124.77257309294367
176,10482.2,3500.0,3121.0975592704094,27.839,3120.0652174719016
177,10483.2,4000.0,3566.9257131240333,27.16,3565.826437978881
178,10484.5,2800.0,2496.8089417460947,27.548,2495.900762877458
179,10485.2,4500.0,4012.694860624486,28.906,4011.488474645722
180,10486.2,3500.0,3120.947344494217,27.16,3119.926358090629
182,10487.3,3600.0,3210.074791975578,26.481,3209.0494450012725
183,10488.2,2400.0,2140.0266949464403,27.645,2139.191457523778
184,10489.2,2500.0,2229.1676639519505,24.056,2228.364825050079
185,10489.8,3200.0,2853.3140217421487,28.808999999999997,2852.316504056224
186,10491.1,1300.0,1159.1407015133966,25.026,1158.571599607445
188,10492.1,1900.0,1694.1083489396615,27.839,1693.3720894400897
189,10494.1,110.0,98.07759898110626,26.384,97.92904847435227
190,10495.1,2500.0,2229.0095490063204,26.772000000000002,2228.167436406913
191,10496.0,1400.0,1248.2318460388194,27.451,1247.6139338140024
192,10497.1,530.0,472.5386667940371,26.189999999999998,472.18515781195254
194,10498.2,4300.0,3833.7536063417865,30.846,3832.5426348591773
195,10499.4,2800.0,2496.361707062416,26.772000000000002,2495.465138670846
196,10500.4,2800.0,2496.3317191693905,28.227,2495.413702408534
197,10501.3,3900.0,3476.9958781856712,30.458,3475.8550691284768
198,10502.2,2500.0,2228.8194194427156,27.936,2227.9611797358875
200,10502.8,3400.0,3031.1725687443527,29.973,3030.1227031474086
201,10503.7,2400.0,2139.628100514699,28.906,2138.776137389736
202,10504.6,2200.0,1961.3045635877684,29.488,1960.4853776628008
203,10505.4,1400.0,1248.0909160751564,26.966,1247.4779437700438
204,10506.4,3100.0,2763.596707931002,27.063,2762.6436642869658
206,10507.5,1100.0,980.6181415037197,26.287,980.0878144144004
208,10509.3,1700.0,1515.4680241132962,27.063,1514.7844690133459
209,10510.6,69.0,61.50921318441593,18.721,61.41077254272298
210,10511.0,90.0,80.22902343222644,18.817999999999998,80.11471835662812
212,10512.0,55.0,49.02825940081506,16.296,48.946648410391155
213,10512.2,27.0,24.068360499670593,15.617,24.01436498322296
214,10513.1,2.2,1.961104496097982,12.222,1.9490573428093874
215,10513.2,110.0,98.0551071770456,17.848,97.9303556915257
216,10514.2,230.0,205.02185567244626,18.333,204.83194758321855
218,10515.3,970.0,864.6459835360471,22.019,864.1889715821586
219,10516.2,160.0,142.62047851296663,19.206,142.46186846866294
220,10516.9,51.0,45.459895921100866,18.042,45.377992946921815
221,10517.5,6.0,5.348184571282278,14.841000000000001,5.325258400900349
222,10518.4,6.9,6.150345887764784,14.549999999999999,6.125788694680093
224,10519.5,16.0,14.261483546132522,15.52,14.221192546696525
225,10520.2,67.0,59.71946121760145,19.787999999999997,59.62019161840773
226,10521.2,180.0,160.4384204391663,21.922,160.25883231409577
227,10521.9,770.0,686.31415151759,26.092999999999996,685.8802773051863
228,10522.9,1300.0,1158.6983173274862,23.377000000000002,1158.146402150241
230,10523.9,380.0,338.69237254964196,20.176,338.4306970555355
231,10524.9,130.0,115.86705490979121,17.46,115.73156388095427
232,10525.8,1100.0,980.4029700367034,24.832,979.8860266549807
233,10526.6,660.0,588.2361444407971,22.407,587.8639552214892
234,10527.6,1800.0,1604.2611769096743,25.607999999999997,1603.5729530344252
236,10528.4,740.0,659.5232753474181,23.765,659.1162088319162
237,10529.9,1500.0,1336.8474885199798,24.25,1336.2402669922478
238,10530.6,220.0,196.069321460775,19.206,195.8801591148786
239,10531.4,210.0,187.15528679885017,18.333,186.97472369863297
240,10532.3,130.0,115.85678626666949,15.713999999999999,115.72752779946762
242,10533.3,110.0,98.03149170517133,18.139,97.90585300336511
243,10534.3,240.0,213.8843307137018,19.4,213.6849485263245
244,10535.3,9.8,8.733505638180262,11.737,8.706399082358745
245,10536.3,72.0,64.16376331342153,12.998,64.0781366186166
246,10537.6,94.0,83.7680545258782,15.229,83.66153752169936
248,10538.4,61.0,54.35960015325941,17.266000000000002,54.270929780833164
249,10539.4,70.0,62.3791227211455,13.871,62.292340787242296
250,10539.9,510.0,454.4737470853375,23.668,454.14307956873813
251,10541.0,63.0,56.140135928383245,14.453,56.05675648231767
252,10541.9,22.0,19.60428087547259,14.646999999999998,19.557445287716487
254,10542.6,29.0,25.841790263384187,12.318999999999999,25.791265216582428
255,10543.5,20.0,17.821732504151026,14.549999999999999,17.77743804870337
256,10544.6,32.0,28.514396944304796,17.072,28.452681241023008
257,10945.3,120.0,106.42807572328881,14.549999999999999,106.30891575730288
258,10546.1,34.0,30.296003420823325,13.192,30.239115018601947
260,10547.0,1.3,1.158364138426724,7.953999999999999,1.150935163300834
262,10549.5,420.0,374.229539137106,19.884999999999998,373.95479882549665
263,10550.3,420.0,374.22596141652025,20.564,373.9470711086982
264,10551.3,97.0,86.42734405684314,14.938,86.31989771786179
266,10552.5,27.0,24.05675085359342,16.683999999999997,24.001154994398018
267,10553.4,37.0,32.966304124346976,13.677,32.90572304737058
268,10554.1,240.0,213.8336981467756,18.333,213.63931545970948
269,10555.1,530.0,472.2104430408448,20.467000000000002,471.89392239093235
270,10556.1,7.4,6.593048197368924,12.513,6.569183526100869
272,10556.8,51.0,45.43819556881113,15.907999999999998,45.360786726578795
273,10557.8,39.0,34.74644051840288,17.363,34.67706236990847
274,10559.0,41.0,36.52778589612714,15.617,36.45975373368563
275,10559.6,75.0,66.81864190221832,17.46,66.71874145715941
276,10560.6,150.0,133.63568848665966,18.817999999999998,133.4840772067845
278,10561.6,42.0,37.417546138775265,14.549999999999999,37.35074414786351
279,10562.9,62.0,55.234568247457595,17.072,55.145560372835234
280,10563.8,6.6,5.879745727029077,17.363,5.853833519271718
281,10564.7,110.0,97.99470971083619,16.974999999999998,97.8727618208617
282,10565.3,69.0,61.46896875944621,15.811,61.37771067254161
284,10566.3,250.0,222.71099780820992,19.884999999999998,222.50484230437237
285,10567.4,970.0,864.107332290132,23.474,863.6372292267436
286,10568.5,400.0,356.32824516297626,20.952,356.05454042928886
287,10569.7,1200.0,1068.9694363062722,16.877999999999997,1068.513084378322
288,10570.9,780.0,694.8201905033987,23.571,694.4027424211386
290,10572.6,560.0,498.8351536004186,21.437,498.50206059192936
291,10573.6,200.0,178.15328809120066,19.206,177.97389619707212
292,10574.5,200.0,178.1513767819337,19.012,177.9727973896609
293,10575.2,410.0,365.2072752067826,19.982,364.93563014855033
294,10576.2,6.3,5.611654662722856,13.774,5.5888776973334995
296,10577.2,41.0,36.5198570282733,17.557000000000002,36.44818499078611
297,10577.7,190.0,169.23735348589136,22.212999999999997,169.05128657688795
298,10578.8,40.0,35.62844953986905,17.072,35.55862984109355
299,10579.5,150.0,133.6055714973217,21.825,133.4436062687861
300,10580.2,32.0,28.50228422607173,15.713999999999999,28.442822610051362
302,10580.6,65.0,57.89498895755785,19.787999999999997,57.79741036184631
303,10581.6,49.0,43.64339487302665,19.012,43.56142787972943
304,10582.5,380.0,338.45535249630456,23.474,338.17547854656937
305,10583.5,270.0,240.478570650482,25.511,240.23815481209942
306,10584.2,160.0,142.50463172353972,21.34,142.338456737169
308,10585.2,120.0,106.87720114407665,22.988999999999997,106.73070295102616
309,10585.9,180.0,160.31446556540774,22.407,160.13319172831842
310,10586.8,760.0,676.8760463299454,25.705,676.4483554615148
311,10588.1,1000.0,890.6125940717492,25.22,890.1189973536419
312,10589.1,680.0,605.6093555184376,23.571,605.2224695481266
314,10590.4,500.0,445.294107182519,22.988999999999997,444.9713756397148
315,10591.0,1300.0,1157.7564121479934,25.802,1157.1798739426704
316,10592.0,1300.0,1157.7426358666564,25.607999999999997,1157.168042212809
317,10593.0,1000.0,890.5606624334997,25.511,890.0645453885237
318,10593.3,500.0,445.2787419462691,24.637999999999998,444.9458744545307
320,10594.1,1300.0,1157.7137108124061,27.548,1157.1200696413935
321,10595.1,1700.0,1513.915305397994,25.705,1513.2476728068254
322,10596.1,410.0,365.1164073380033,22.697999999999997,364.82889008408165
323,10597.1,720.0,641.1724069130819,25.898999999999997,640.7559525161986
324,10598.2,1400.0,1246.7078164472632,26.092999999999996,1246.1041614262317
326,10599.2,1400.0,1246.692992677615,26.287,1246.0873405224404
327,10600.1,1600.0,1424.7767459827455,26.287,1424.1246635988389
328,10601.1,1900.0,1691.9022722536927,25.996,1691.188718667203
329,10602.2,2400.0,2137.1117683572134,26.578,2136.291710871476
330,10603.4,1700.0,1513.7659123629646,25.898999999999997,1513.096069702126
332,10604.2,2600.0,2315.149384333939,27.451,2314.2797441800994
333,10604.9,2400.0,2137.0431935268384,26.578,2136.2231505971913
334,10606.0,1900.0,1691.8037488452865,26.384,1691.0854793326087
335,10607.1,1000.0,890.4113889092063,24.637999999999998,889.9229749594856
336,10608.1,720.0,641.0885841143846,24.153,640.6849431127612
338,10609.0,180.0,160.270432636955,20.952,160.0945390984584
339,10610.0,830.0,739.0159951790471,22.794999999999998,738.5904704699741
340,10611.1,950.0,845.8506313188886,24.056,845.3809383129492
341,10612.0,1500.0,1335.5393550240458,25.317,1334.9206733671342
342,10612.8,810.0,721.1844011579452,26.772000000000002,720.7333183588685
344,10613.6,1400.0,1246.4797181722474,25.317,1245.8842113899314
345,10614.7,1000.0,890.3310291303965,24.347,889.8452250950106
346,10615.6,2200.0,1958.7073384014502,25.413999999999998,1957.9413680046107
347,10616.3,6.7,5.965104605075658,16.392999999999997,5.9396441288654644
348,10617.5,1600.0,1424.4823047321106,25.511,1423.838967918407
350,10618.2,1700.0,1513.4998761008528,26.772000000000002,1512.820103691481
351,10618.9,1900.0,1691.544634359567,26.189999999999998,1690.8287901044282
352,10619.1,1000.0,890.2845368849299,26.092999999999996,889.7834809213083
353,10620.2,1900.0,1691.5185431866403,26.189999999999998,1690.8027050395692
354,10620.8,910.0,810.1425879965244,23.862000000000002,809.6856266520135
356,10621.9,1100.0,979.2804593528489,25.122999999999998,978.7611474676485
357,10623.0,1700.0,1513.4136904705495,26.384,1512.738358886768
358,10623.9,1600.0,1424.374151445049,25.996,1423.7254056780152
359,10624.1,1300.0,1157.3012530016435,26.092999999999996,1156.7219447593275
360,10625.0,1900.0,1691.4222400130432,26.675,1690.7005316169327
362,10625.8,2200.0,1958.4703305904056,25.898999999999997,1957.6979144694317
363,10626.3,1100.0,979.2293598189879,22.31,978.7368952624205
364,10627.4,240.0,213.64725576743172,20.176,213.44447510295268
365,10628.3,1200.0,1068.224881327726,25.705,1067.6743785442973
366,10629.2,1300.0,1157.2312754006336,26.384,1156.649109009169
368,10630.3,2000.0,1780.3325961772189,26.578,1779.5913494459016
369,10631.2,1600.0,1424.2508852743704,25.898999999999997,1423.6032531903602
370,10632.2,380.0,338.2555767734294,22.31,337.9820779076624
371,10633.1,530.0,471.77248382053745,24.832,471.42759286752147
372,10634.2,120.0,106.81501932056212,20.952,106.67451009178646
374,10635.2,1500.0,1335.1719239569138,23.959,1334.568387843547
375,10636.1,750.0,667.5788448491206,22.794999999999998,667.1765935050078
376,10637.2,620.0,551.8579882887854,22.794999999999998,551.4959497041077
377,10638.1,320.0,284.82689348725455,22.116,284.5791830443959
378,10639.1,780.0,694.2573313917698,22.988999999999997,693.844704858049
380,10640.2,670.0,596.3414788736478,22.31,595.9671869697063
381,10641.1,380.0,338.2199213658257,20.078999999999997,337.95901014715804
382,10642.3,2700.0,2403.1074077836865,18.624,2402.3609413048234
383,10643.2,27.0,24.030818067615662,16.005,23.97627550813083
384,10643.7,1600.0,1424.040050430144,26.287,1423.3881545895385
386,10644.7,69.0,61.41100035175114,19.884999999999998,61.309963220340954
387,10645.7,400.0,356.0015861514377,24.929,355.7059386433289
388,10646.6,73.0,64.96959756370258,17.848,64.87026770380918
389,10647.6,1000.0,889.9839569696851,27.063,889.4747587361131
390,10648.7,750.0,667.4792813425078,24.929,667.0606576961073
392,10649.6,530.0,471.6803370747333,22.892,471.3477888757807
393,10650.7,270.0,240.2868566481292,21.34,240.06496170048408
394,10651.7,290.0,258.08283072558805,20.661,257.85529613461574
395,10652.4,320.0,284.7786971504777,23.571,284.5238605166099
396,10653.3,560.0,498.3574162464493,25.22,497.99943262628244
398,10654.3,440.0,391.5619115618033,26.092999999999996,391.24385305584667
399,10655.3,500.0,444.95145717176365,24.25,444.62107584206996
400,10656.4,250.0,222.47283564801836,24.444,222.24690717461417
401,10657.4,680.0,605.1189603660964,24.735,604.7238306079395
402,10657.9,1000.0,889.875565251873,26.287,889.3729761952414
404,10658.9,1500.0,1334.7975727684004,28.712,1334.1433115087514
405,10659.9,500.0,444.92726648099654,23.571,444.6010594482843
406,10660.9,1100.0,978.828420460757,24.25,978.3173801828933
407,10661.9,940.0,836.4434951023107,23.959,835.9775411506769
408,10662.5,810.0,720.760030456749,22.988999999999997,720.3387620695869
410,10663.7,1400.0,1245.7404185957723,26.675,1245.131046345047
411,10664.7,270.0,240.24710021347965,20.758,240.0279486416105
412,10665.8,2800.0,2491.4190431334337,28.615,2490.4964150571845
413,10666.5,1600.0,1423.6562562121119,25.607999999999997,1423.0120343704468
414,10667.2,430.0,382.6044563399595,22.988999999999997,382.3077148133008
416,10668.4,620.0,551.654423226694,23.668,551.2863304498192
417,10669.5,560.0,498.26204070792147,23.765,497.91347111985846
418,10670.2,400.0,355.8985167683595,22.794999999999998,355.6144986755268
419,10671.3,300.0,266.9204218909462,24.153,266.67186394363466
420,10671.9,780.0,693.9881824159031,25.705,693.554542587932
422,10672.9,1600.0,1423.5487021965555,29.682000000000002,1422.8605818345684
423,10674.4,240.0,213.5285258184938,20.661,213.32364565758456
424,10674.7,250.0,222.4247604093864,23.28,222.203727510209
425,10675.7,140.0,124.55639627629726,19.593999999999998,124.40792122196451
426,10676.3,90.0,80.07140225831156,20.37,79.95311036308318
428,10677.5,240.0,213.52071685438617,20.952,213.31455721439593
429,10678.6,370.0,329.1735009889283,24.832,328.8908905440286
430,10679.5,850.0,756.2013675900097,24.444,755.7567372030051
431,10680.3,270.0,240.2028741835913,20.37,239.98558368421337
432,10681.4,1800.0,1601.3317241075106,26.481,1600.6338203082466
435,10683.3,650.0,578.2457250321698,23.086,577.8720970599735
436,10684.2,1600.0,1423.3589915366458,26.287,1422.7072681896084
437,10685.3,970.0,862.9002005677961,22.794999999999998,862.4365805882265
438,10686.1,590.0,524.851874388735,21.049,524.5120625010177
441,10688.1,1200.0,1067.4701791413327,24.735,1066.9292678050626
442,10688.9,190.0,169.01451857035704,18.915,168.84146340761518
443,10690.0,2400.0,2134.892567427709,27.742,2134.05713257268
444,10690.9,1700.0,1512.1995360289582,25.705,1511.532322120299
446,10691.1,1600.0,1423.2432691358626,25.898999999999997,1422.595890559103
447,10691.2,1000.0,889.5259954122558,22.116,889.0608417337728
448,10692.1,530.0,471.4437798545259,21.146,471.1228995125599
449,10693.0,1100.0,978.4578507747342,23.474,977.9542878932525
450,10694.1,970.0,862.8107459696918,23.571,862.340167139296
452,10695.1,2200.0,1956.867309069588,26.578,1956.0862631217162
453,10695.7,3100.0,2757.384455774621,26.869,2756.4356528235517
454,10696.7,1900.0,1689.9899308689323,25.413999999999998,1689.2840016455013
455,10698.0,6.5,5.781456023081877,15.617,5.756967852296952
456,10698.7,780.0,693.7690064194361,24.056,693.3480955069028
458,10699.4,980.0,871.6513137279267,24.25,871.1720308704438
459,10700.9,120.0,106.73092979539479,19.108999999999998,106.59613779251528
460,10701.5,93.0,82.71588657978987,20.467000000000002,82.59519171664331
461,10702.1,1900.0,1689.8825263888791,23.959,1689.194974513076
462,10703.3,790.0,702.625445986416,23.668,702.2046385659713
464,10704.3,750.0,667.0416267075848,24.832,666.6238831263129
465,10705.4,280.0,249.02565171327555,23.862000000000002,248.78774982252585
466,10706.4,790.0,702.599824853791,25.607999999999997,702.1639528172082
467,10707.1,530.0,471.3605589296899,24.637999999999998,471.01704021124056
468,10708.1,790.0,702.5857783343542,24.929,702.1551123491872
470,10709.1,270.0,240.1214298353211,20.855,239.90188509080707
471,10709.9,1200.0,1067.1963166554174,24.735,1066.6554820960803
472,10710.9,980.0,871.5334123380454,24.444,871.0524562796229
473,10711.9,1300.0,1156.1021605998997,25.122999999999998,1155.5329014526778
474,10712.6,1300.0,1156.0926481826573,26.481,1155.5098440027748
476,10713.6,1300.0,1156.0790603081005,27.742,1155.4840203269177
477,10714.7,2800.0,2489.9842485591457,28.032999999999998,2489.0703444270516
478,10715.3,2400.0,2134.257165066606,27.742,2133.4218677666977
479,10716.2,2100.0,1867.4552706113918,26.966,1866.6892274910115
480,10717.2,1800.0,1600.657139835233,26.675,1599.9571193893644
482,10718.5,1500.0,1333.860578879587,26.675,1333.2277246315332
483,10719.3,1700.0,1511.6944502766767,28.323999999999998,1510.997805209078
484,10720.3,750.0,666.9161888954674,24.735,666.4992184564883
485,10721.1,1100.0,978.1345535830562,26.675,977.601491968983
486,10722.0,1300.0,1155.9649821537887,25.705,1155.3899061867044
488,10723.1,680.0,604.6507960537142,24.929,604.2544546779261
489,10724.1,1800.0,1600.527432944682,24.153,1599.8578276210744
490,10724.9,2000.0,1778.3471121480213,26.092999999999996,1777.612393669299
491,10725.9,1400.0,1244.8283655168789,26.189999999999998,1244.2242133598686
492,10727.1,370.0,328.9857199085656,23.377000000000002,328.7107156908036
494,10728.1,250.0,222.28503976582158,18.333,222.08644234070877
495,10729.1,1400.0,1244.7816149212579,24.153,1244.1989400282444
496,10730.0,1000.0,889.1203352316705,25.026,888.6288945653166
497,10731.2,1400.0,1244.750943915,26.675,1244.1418394785574
498,10732.0,1500.0,1333.649208870029,25.026,1333.0341966946305
500,10732.7,1500.0,1333.6382576270937,27.16,1333.0003468917243
501,10733.8,1300.0,1155.8049102236946,26.189999999999998,1155.2250559931942
502,10734.8,1200.0,1066.8843272212864,26.869,1066.3232135031778
503,10735.7,2600.0,2311.5583112421614,28.13,2310.67987907043
504,10736.8,2700.0,2400.4334372282888,27.645,2399.543423307964
506,10737.8,1300.0,1155.7506963520557,26.772000000000002,1155.16513532207
507,10738.8,1800.0,1600.2514338360877,26.772000000000002,1599.550375496328
508,10739.7,1100.0,977.9211142684728,24.735,977.4057971411492
509,10740.7,1400.0,1244.6122838162444,26.092999999999996,1244.0091903302718
510,10741.6,710.0,631.1895715682037,24.347,630.7879582326676
512,10742.4,880.0,782.312134328964,24.153,781.8614919228315
513,10743.4,980.0,871.2010313496056,24.735,870.7176277321071
514,10744.5,680.0,604.4990466974671,25.511,604.0986538966741
515,10745.5,390.0,346.69392078781215,22.116,346.41774661585134
516,10746.8,750.0,666.7089250448477,24.153,666.296437250833
518,10747.2,810.0,720.0422653167337,23.959,719.613383372155
519,10748.2,110.0,97.78237219857118,18.042,97.65721030052484
520,10749.3,39.0,34.66784897752567,19.4,34.59504267581944
521,10750.1,160.0,142.22574029609805,21.146,142.06042086287775
522,10751.1,320.0,284.4481498448717,24.444,284.1893068609611
524,10752.1,250.0,222.22251520911988,22.31,222.00575262325705
525,10753.0,56.0,49.77731892779822,18.817999999999998,49.68956198696962
526,10754.5,280.0,248.88222456286803,23.765,248.6448307340876
527,10755.8,680.0,604.4190631129696,24.444,604.0262683146269
528,10756.7,190.0,168.8800182948842,21.243,168.69783751194242
530,10757.7,690.0,613.2939424099218,21.727999999999998,612.918262870093
531,10758.6,1700.0,1510.9981492221968,25.317,1510.3357453769577
532,10759.6,630.0,559.9515864310191,24.153,559.5770623365418
