,TVD,Thickness,Sw_In,por_In,Vsh_In
34,10275.71094,0.4531200000001263,0.4399466081648798,0.229281767955801,0.3057994394612054
35,10276.164065,0.4531299999998737,0.42657874816707353,0.23176795580110499,0.3281441352292204
36,10276.61768,0.4541000000008353,0.433495529257018,0.2295580110497238,0.34321021797459134
37,10277.07129,0.4531200000001263,0.4465955125850658,0.22845303867403322,0.3275337275263147
38,10277.524415,0.4531299999998737,0.4485364864218443,0.23066298342541441,0.31793916520933996
75,10294.301759999998,0.4531200000001263,0.41041005663762825,0.20939226519337006,0.13114128086131202
76,10294.754884999998,0.4531299999998737,0.36677189725320747,0.21160220994475126,0.1426987897425649
77,10295.2085,0.4541000000008353,0.33216699349108375,0.21436464088397786,0.15137959077912028
78,10295.662110000001,0.4531200000001263,0.309871354973516,0.21657458563535908,0.15324727914117287
79,10296.11572,0.4540999999990163,0.29546803638168295,0.2171270718232043,0.1566645642619522
80,10296.569335,0.4531299999998737,0.28185320620589494,0.22182320441988934,0.17675166924912555
81,10297.022949999999,0.4541000000008353,0.2627620577818024,0.23176795580110482,0.21003815198893067
82,10297.476565,0.4531299999998737,0.2514581607436797,0.23784530386740324,0.2465150511973754
83,10297.93018,0.4541000000008353,0.25541332124424054,0.2353591160220994,0.27170237419338067
84,10298.38379,0.4531200000001263,0.2660052656802486,0.2298342541436464,0.27559049964852345
85,10298.836915,0.4531299999998737,0.2782723732938661,0.22569060773480656,0.2736568012628451
86,10299.29053,0.4540999999990163,0.2983057606020829,0.22071823204419888,0.28174758215446694
87,10299.744139999999,0.4531200000001263,0.33010447313027536,0.21629834254143643,0.3004244161274827
88,10300.19775,0.4541000000008353,0.3575959687436694,0.21961325966850814,0.3094110448795099
89,10300.651365000002,0.4531299999998737,0.3790923844007999,0.2248618784530386,0.315539994117327
90,10301.10498,0.4540999999990163,0.3983318758286887,0.22237569060773477,0.32853442403513244
91,10301.558594999999,0.4531299999998737,0.4005696961748605,0.21823204419889491,0.3526800837029396
92,10302.01221,0.4541000000008353,0.36744035832178334,0.2193370165745855,0.3709545958977256
93,10302.465820000001,0.4531200000001263,0.3184185268528539,0.2193370165745855,0.3539458007300084
94,10302.91943,0.4540999999990163,0.279827889889112,0.21988950276243088,0.3325383468160471
95,10303.373045,0.4531299999998737,0.25355085808870603,0.22734806629834253,0.3371596849755606
96,10303.826659999999,0.4541000000008353,0.25069885043999585,0.230939226519337,0.34096474276815125
97,10304.280275000001,0.4531299999998737,0.2556125051049627,0.23370165745856344,0.323628077729104
98,10304.73389,0.4541000000008353,0.2570366955768102,0.23812154696132587,0.31394038038286703
99,10305.1875,0.4531199999983073,0.26012311552738154,0.23646408839779004,0.32205461762281146
100,10305.64111,0.4541000000008353,0.26576734260307255,0.23093922651933702,0.32659549092875356
101,10306.094724999999,0.4531299999998737,0.27060228728740315,0.22569060773480656,0.31281995068760915
102,10306.548340000001,0.4541000000008353,0.27088532252389924,0.22375690607734794,0.29462668508502454
103,10307.001955,0.4531299999998737,0.2688040712793748,0.22375690607734794,0.29358703522034957
104,10307.45557,0.4540999999990163,0.26762448109176007,0.22569060773480656,0.3008623990682134
105,10307.909670000001,0.4541000000008353,0.26446057360897357,0.23093922651933702,0.29463588062867485
106,10308.363280000001,0.4531200000001263,0.2631425267030962,0.2353591160220994,0.27657451365493846
107,10308.816895,0.45410999999876367,0.2701453543808786,0.23701657458563524,0.2680863113221086
108,10309.270509999998,0.4531200000001263,0.283939976274716,0.23370165745856344,0.2814866433090353
109,10309.724119999999,0.4541000000008353,0.2967397418316623,0.2328729281767956,0.3038382185574896
110,10310.177735000001,0.4531299999998737,0.3052746107469789,0.237292817679558,0.31567798489841853
111,10310.63135,0.4540999999990163,0.31743490393011087,0.23646408839779004,0.3288087477715066
112,10311.085449999999,0.4541000000008353,0.328273609074773,0.2320441988950276,0.34943591899709203
113,10311.539065,0.4531299999998737,0.33792207414098063,0.2270718232044198,0.3526838671621096
114,10311.99268,0.4541000000008353,0.3446710064904063,0.22071823204419874,0.3348002348003714
