,DEPTH,TVD,Rt,density_porosity,GR,Sw,Vshale
260,11463.50036683186,10377.68359,56.82299,0.2602209944751381,61.412,0.11787185106536135,0.1284927045609527
261,11464.000366847858,10378.13184,55.0849,0.25745856353591146,61.097,0.12100152747454222,0.12536392089809473
262,11464.500366863858,10378.58008,53.65221999999999,0.2497237569060773,59.968,0.12640398593464247,0.11432433434507992
263,11465.000366879858,10379.0293,51.94326,0.2497237569060773,59.79600000000001,0.12846653658975968,0.11266613969272755
264,11465.500366895856,10379.47754,50.35462,0.2453038674033149,60.902,0.1328282407054088,0.12343776383265775
265,11466.000366911858,10379.92578,50.03331,0.23867403314917124,61.851000000000006,0.13695556621926824,0.13288902596015534
266,11466.50036692786,10380.37402,48.11396,0.2453038674033149,62.79600000000001,0.13588594237088844,0.14249619995526686
267,11467.000366943856,10380.82227,45.85059,0.2453038674033149,63.486,0.13919948154220665,0.1496366752848486
268,11467.500366959855,10381.27051,43.39914,0.2519337016574585,63.982,0.1393117178774326,0.15483610916760046
269,11468.000366975857,10381.71875,40.70021,0.2519337016574585,65.253,0.1438566307062691,0.16841838286343924
270,11468.500366991855,10382.16699,37.4911,0.23867403314917124,66.752,0.1582141104542053,0.1849269466201748
271,11469.000367007857,10382.61523,34.426109999999994,0.24088397790055244,67.751,0.1635921976990844,0.1962315119094122
272,11469.500367023855,10383.06348,31.63696,0.23867403314917124,68.493,0.17223124166703513,0.20478821697214392
273,11470.000367039856,10383.51172,29.30634,0.23867403314917124,68.453,0.17894868583468268,0.20432341107372698
274,11470.500367055856,10383.95898,27.95201,0.2430939226519337,67.387,0.17990111460334118,0.19208407513138345
275,11471.000367071856,10384.40723,26.30371,0.23867403314917124,66.986,0.18888644869012552,0.1875528885204425
276,11471.500367087856,10384.85547,24.26825,0.2342541436464088,68.40100000000001,0.20035858938151946,0.20371976730556351
277,11472.000367103856,10385.30273,22.28949,0.23867403314917124,68.933,0.2051914400769436,0.2099278453564996
278,11472.500367119856,10385.75098,20.31499,0.23867403314917124,68.354,0.21493195985819954,0.20317475297935889
279,11473.000367135857,10386.19922,18.46472,0.2342541436464088,69.205,0.2296972693417729,0.21312974564262493
280,11473.500367151855,10386.64648,16.73072,0.23646408839779,71.64699999999998,0.23905177212852616,0.24274025709629296
281,11474.000367167857,10387.09473,15.5594,0.23867403314917124,74.128,0.2455912459384085,0.27447733003548225
282,11474.500367183855,10387.54199,14.54544,0.2320441988950276,75.696,0.2612644562330452,0.29543616779127196
283,11475.000367199857,10387.98926,13.84911,0.2320441988950276,76.931,0.26775206521208605,0.3124542734588241
304,11485.500367535851,10397.38086,13.15392,0.2298342541436464,73.714,0.27737807085284305,0.2690617345847168
305,11486.000367551853,10397.82715,15.43144,0.2320441988950276,71.33,0.2536533102707384,0.2388071108573281
306,11486.500367567849,10398.27441,18.78837,0.2353591160220993,69.19,0.2266412208265301,0.21295267659408731
307,11487.00036758385,10398.7207,21.70249,0.2436464088397789,67.634,0.20370405777966905,0.19489482664710486
308,11487.50036759985,10399.16699,25.43755,0.2541436464088397,66.689,0.18038382021543306,0.18422224149359465
309,11488.00036761585,10399.61426,29.5635,0.2497237569060773,67.21,0.1702851173578269,0.19007915493667604
310,11488.50036763185,10400.06055,34.545790000000004,0.2430939226519337,67.559,0.16182395502844224,0.19403976350199634
311,11489.00036764785,10400.50684,39.28378,0.2508287292817678,66.423,0.14707219159979168,0.1812574367380172
312,11489.50036766385,10400.95313,43.74638,0.2580110497237569,65.297,0.1354893349242456,0.1688953330783588
