,DEPTH,Rt,TVD,density_porosity,GR,Sw,Vshale
20,10710.000342719737,8.082180000000001,10632.0,0.28232044198895034,74.512,0.2880765403241314,0.1334245561157738
30,10715.000342879734,7.574610000000002,10637.0,0.2779005524861879,72.15,0.30230472037892825,0.09058255213858646
31,10715.500342895732,9.86214,10637.5,0.288950276243094,68.60600000000001,0.2548037301823698,0.03361494964682549
32,10716.000342911731,13.12318,10638.0,0.29558011049723737,67.425,0.21593335234480587,0.016399961581193518
33,10716.500342927731,16.11046,10638.5,0.2867403314917128,66.244,0.2008962007923683,0.0
34,10717.000342943731,19.39501,10639.0,0.2867403314917128,66.244,0.18309677307690528,0.0
35,10717.500342959731,21.54593,10639.5,0.2983425414364641,67.425,0.1669616276971589,0.016399961581193518
36,10718.000342975733,20.68124,10640.0,0.3016574585635358,69.788,0.16854354417024905,0.05170114386259599
37,10718.500342991732,19.64325,10640.5,0.2817679558011049,71.559,0.18514679732201034,0.08049737713795377
38,10719.000343007732,17.04589,10641.0,0.2756906077348067,73.19800000000002,0.2031340211429657,0.10907934401813307
39,10719.500343023732,15.65279,10641.5,0.2839779005524861,74.512,0.2057946373998327,0.1334245561157738
40,10720.000343039732,16.222920000000002,10642.0,0.2961325966850829,73.331,0.1938490821894452,0.11148418152280803
41,10720.500343055732,15.80137,10642.5,0.3016574585635358,74.512,0.1928204260474144,0.1334245561157738
42,10721.000343071732,19.10301,10643.0,0.29723756906077337,74.512,0.17797535787692542,0.1334245561157738
43,10721.500343087731,21.65478,10643.5,0.3016574585635358,73.331,0.16471134797858755,0.11148418152280803
44,10722.000343103731,29.73831,10644.0,0.29723756906077337,70.969,0.14264371276680726,0.07067048960454808
45,10722.500343119731,34.82027,10644.5,0.29723756906077337,69.558,0.13182406790706586,0.048112698885729666
46,10723.00034313573,33.24619000000001,10645.0,0.30386740331491696,68.60600000000001,0.13196520031409928,0.03361494964682549
47,10723.500343151729,29.64406,10645.5,0.29723756906077337,69.788,0.14287029274303986,0.05170114386259599
48,10724.000343167729,26.53942,10646.0,0.2867403314917128,69.347,0.15652365496754891,0.044850368843294436
49,10724.500343183729,24.10332,10646.5,0.2756906077348067,68.60600000000001,0.17082603990301487,0.03361494964682549
50,10725.00034319973,22.02807,10647.0,0.2790055248618784,69.13600000000001,0.1765685904352735,0.041616185957347965
51,10725.50034321573,20.45937,10647.5,0.28232044198895034,69.788,0.18106146237774387,0.05170114386259599
52,10726.00034323173,19.58754,10648.0,0.2867403314917128,72.328,0.1821947028334148,0.09366832583061993
53,10726.50034324773,17.24662,10648.5,0.29337016574585617,74.512,0.189778292024533,0.1334245561157738
54,10727.00034326373,12.9662,10649.0,0.2812154696132596,76.875,0.22833312033633085,0.18065156692272055
55,10727.50034327973,13.02262,10649.5,0.2779005524861879,78.497,0.2305557102515561,0.2158258290304365
56,10728.00034329573,12.44761,10650.0,0.2856353591160221,79.237,0.22943492229227244,0.2326683145262953
57,10728.500343311729,14.53582,10650.5,0.29116022099447497,81.6,0.2082872416645303,0.2900091313219881
58,10729.000343327729,16.94173,10651.0,0.28011049723756914,79.237,0.20054240305329746,0.2326683145262953
59,10729.500343343729,18.07518,10651.5,0.28011049723756914,78.837,0.1941528532662052,0.22350073504935825
60,10730.000343359729,20.65498,10652.0,0.28453038674033154,78.056,0.1788024369574971,0.2060293429194141
61,10730.500343375728,23.76969,10652.5,0.28453038674033154,79.146,0.16667638176139604,0.23056943717465955
62,10731.000343391728,31.49509,10653.0,0.29337016574585617,80.419,0.140435564445532,0.2606554157867557
63,10731.500343407728,39.35695,10653.5,0.2900552486187845,81.6,0.12706414870432742,0.2900091313219881
64,10732.000343423728,34.89992,10654.0,0.28453038674033154,81.6,0.13755412141750245,0.2900091313219881
