,Rt,DEPTH,density_porosity,TVD,GR,Sw,Vshale
1,5.60003,10884.50034830367,0.26353591160220985,10272.00195,59.519,0.3707485799431447,0.20256489438514516
2,6.662939999999999,10885.00034831967,0.26740331491712704,10272.47363,59.125,0.3349768075036668,0.1938423471495058
3,7.32131,10885.50034833567,0.25745856353591146,10272.94531,59.125,0.3319041917242289,0.1938423471495058
4,7.679810000000002,10886.00034835167,0.2502762430939225,10273.41699,62.275,0.3333647013672231,0.26777761841417835
5,7.90638,10886.50034836767,0.2475138121546961,10273.88867,61.488,0.33222032304697485,0.2483809632110543
6,8.108319999999999,10887.00034838367,0.2508287292817678,10274.36035,60.7,0.32372166034327665,0.2295902346391732
7,8.28335,10887.50034839967,0.25966850828729265,10274.83105,61.045,0.30937996646977944,0.2377408163404345
8,8.586910000000001,10888.00034841567,0.26132596685082865,10275.30273,61.488,0.3019349978427871,0.2483809632110543
9,8.84103,10888.50034843167,0.26132596685082865,10275.77441,59.125,0.2975640624482675,0.1938423471495058
10,8.93136,10889.000348447673,0.2624309392265194,10276.24609,59.912,0.2948089370840919,0.21140998860859464
11,8.93672,10889.500348463669,0.2607734806629834,10276.7168,60.553,0.2965937382690714,0.22615302642099375
12,8.74644,10890.000348479667,0.25966850828729265,10277.18848,61.488,0.3010783543063272,0.2483809632110543
13,8.79473,10890.500348495667,0.26298342541436465,10277.66016,62.275,0.29646596589077906,0.26777761841417835
14,9.01774,10891.000348511667,0.2624309392265194,10278.13184,60.46,0.2933935673296177,0.2239893779672512
15,9.28331,10891.500348527668,0.2640883977900551,10278.60254,59.125,0.2873516722504331,0.1938423471495058
16,9.67282,10892.000348543668,0.2569060773480662,10279.07422,57.15600000000001,0.28937669094280233,0.15234651904049945
17,10.0185,10892.500348559668,0.2662983425414363,10279.54492,55.975,0.2743119090441272,0.1290516543511238
18,10.19057,10893.000348575668,0.27458563535911595,10280.0166,55.975,0.263777303965929,0.1290516543511238
19,10.13561,10893.500348591668,0.27127071823204424,10280.48828,55.975,0.2677235741657446,0.1290516543511238
20,10.30523,10894.000348607671,0.2646408839779006,10280.95898,55.975,0.2721627560067962,0.1290516543511238
21,10.55419,10894.500348623667,0.2696132596685083,10281.43066,55.187,0.2639737706246631,0.11413775575132262
22,10.94539,10895.000348639667,0.28232044198895034,10281.90137,54.4,0.2475463525188966,0.0997263983407665
23,11.13447,10895.500348655667,0.28232044198895034,10282.37305,54.13399999999999,0.24543549861473074,0.09496197283119012
24,10.98537,10896.000348671667,0.28066298342541435,10282.84375,53.613,0.2485547088754261,0.08578265986088078
25,10.78002,10896.500348687669,0.2773480662983424,10283.31543,53.613,0.25390985159252544,0.08578265986088078
26,10.78632,10897.000348703668,0.27845303867403315,10283.78613,54.4,0.2528284053140393,0.0997263983407665
27,10.9629,10897.500348719666,0.28011049723756914,10284.25684,55.975,0.2493000504721944,0.1290516543511238
28,11.29675,10898.000348735666,0.27845303867403315,10284.72852,57.395,0.2470505111167692,0.15720264242241094
29,11.6326,10898.500348751666,0.2839779005524861,10285.19922,59.912,0.2387215005947541,0.21140998860859464
30,11.7191,10899.000348767666,0.2790055248618784,10285.6709,59.912,0.2420775659208943,0.21140998860859464
31,11.72786,10899.500348783666,0.2718232044198895,10286.14355,59.912,0.2483811095605746,0.21140998860859464
32,11.57591,10900.000348799666,0.27458563535911595,10286.61719,60.438,0.2474908188371875,0.22347877950063355
33,11.21918,10900.500348815664,0.26906077348066304,10287.08984,60.7,0.256556801695876,0.2295902346391732
34,11.04837,10901.000348831663,0.2662983425414363,10287.5625,62.275,0.2612142762155584,0.26777761841417835
