,DEPTH,Rt,density_porosity,TVD,GR,Sw,Vshale
629,11858.00037945552,35.75861,0.28453038674033154,10586.30762,77.419,0.08363605610325008,0.16122777009484293
630,11858.500379471521,32.394870000000004,0.2817679558011049,10586.75781,76.62100000000002,0.08873251513160776,0.15499254130122675
631,11859.00037948752,28.85507,0.28066298342541435,10587.20801,76.97399999999998,0.0943878970680782,0.15774090984850173
632,11859.50037950352,25.99515,0.28066298342541435,10587.6582,76.938,0.09944460165930966,0.15745991127444176
633,11860.00037951952,24.22854,0.2773480662983424,10588.10938,75.005,0.1042374429671412,0.1426071789311225
634,11860.50037953552,24.40766,0.27679558011049715,10588.55957,74.247,0.10406154996974352,0.13690717877640052
635,11861.00037955152,21.96157,0.27458563535911595,10589.00977,74.533,0.11058672785487147,0.1390497175602096
636,11861.50037956752,18.73306,0.2861878453038673,10589.45996,76.835,0.11488331712505398,0.15665683701533864
637,11862.00037958352,18.45227,0.2856353591160221,10589.91113,80.786,0.11597800800217065,0.18843098159962784
638,11862.500379599522,17.5951,0.2817679558011049,10590.36133,81.963,0.12039959965128445,0.19829156849844776
639,11863.00037961552,17.0603,0.28066298342541435,10590.81152,81.963,0.1227535454176715,0.19829156849844776
640,11863.500379631521,16.08934,0.2718232044198895,10591.26172,81.963,0.1305139312040722,0.19829156849844776
641,11864.00037964752,14.33681,0.2696132596685083,10591.71289,81.963,0.13939429565562705,0.19829156849844776
642,11864.500379663521,12.90818,0.2646408839779006,10592.16309,81.963,0.14966597140311225,0.19829156849844776
643,11865.000379679519,11.58704,0.2513812154696133,10592.61328,80.443,0.1663004555463097,0.18559220722492184
644,11865.50037969552,10.65244,0.254696132596685,10593.06445,76.835,0.17118496362939126,0.15665683701533864
645,11866.00037971152,10.25602,0.253038674033149,10593.51465,72.605,0.17560471845028414,0.12479433767833427
646,11866.50037972752,9.98931,0.2497237569060773,10593.96484,68.527,0.1802955087617904,0.09605336745971177
647,11867.000379743518,9.99639,0.2480662983425413,10594.41504,66.533,0.1814358701708016,0.08266850783600976
648,11867.500379759518,10.32764,0.2458563535911601,10594.86621,66.241,0.18010697505880793,0.08074405567863649
649,11868.000379775518,10.30438,0.2519337016574585,10595.31641,66.065,0.17596055088768886,0.07958844946039126
650,11868.500379791518,10.193,0.2640883977900551,10595.7666,65.388,0.1687765790687656,0.07517353044095122
651,11869.000379807518,11.89509,0.2751381215469612,10596.2168,64.798,0.14996084527734918,0.07136479016070865
652,11869.500379823518,12.72798,0.2817679558011049,10596.66797,64.563,0.14156020094227573,0.06985773873738248
653,11870.000379839517,14.41607,0.28453038674033154,10597.11816,66.765,0.13172263759694516,0.08420395042042231
654,11870.500379855515,19.60659,0.2850828729281768,10597.56836,66.711,0.11273021969762236,0.08384605357914872
655,11871.000379871517,26.45248,0.2834254143646408,10598.01953,66.37100000000001,0.0976203872627833,0.08159972148041486
656,11871.500379887517,34.77298,0.2828729281767956,10598.46973,66.767,0.08531004524496137,0.08421721180131975
657,11872.000379903515,41.17303,0.2828729281767956,10598.91992,67.383,0.07839975640802882,0.08832198771391447
658,11872.500379919516,44.55808,0.2906077348066297,10599.37109,68.61399999999999,0.0733570925427051,0.09664714432837798
659,11873.000379935515,48.20641,0.29392265193370165,10599.82129,71.02,0.06973118751685585,0.11340013563990176
660,11873.500379951516,50.47721,0.2922651933701657,10600.27148,71.725,0.06853110672904705,0.11843253914798756
661,11874.000379967518,49.12116,0.2850828729281768,10600.72266,71.725,0.07122083809328984,0.11843253914798756
